task_id,split,type,pair_index,in_height,in_width,in_area,in_elongation,in_entropy,in_color_diversity,in_bg_ratio,in_comp_count,in_mean_comp_size,in_max_comp_size,in_mean_comp_elong,in_max_comp_elong,in_transition_density,out_height,out_width,out_area,out_elongation,out_entropy,out_color_diversity,out_bg_ratio,out_comp_count,out_mean_comp_size,out_max_comp_size,out_mean_comp_elong,out_max_comp_elong,out_transition_density,delta_area,delta_comp_count,delta_entropy,delta_color_diversity
009d5c81,train,train,1,14,14,196,1.0,0.5653592890473628,2,0.8979591836734694,2,10.0,14.0,1.6666666666666667,2.3333333333333335,0.15934065934065933,14,14,196,1.0,0.37123232664087563,1,0.9285714285714286,1,14.0,14.0,2.3333333333333335,2.3333333333333335,0.10989010989010989,0,-1,-0.19412696240648714,-1
009d5c81,train,train,2,14,14,196,1.0,0.7028355719983139,2,0.8520408163265306,2,14.5,24.0,1.4,1.8,0.16483516483516483,14,14,196,1.0,0.5363596511250623,1,0.8775510204081632,1,24.0,24.0,1.8,1.8,0.13186813186813187,0,-1,-0.16647592087325158,-1
009d5c81,train,train,3,14,14,196,1.0,0.6015366641049753,2,0.8877551020408163,2,11.0,16.0,1.0833333333333335,1.1666666666666667,0.17582417582417584,14,14,196,1.0,0.40790598013897633,1,0.9183673469387755,1,16.0,16.0,1.1666666666666667,1.1666666666666667,0.12637362637362637,0,-1,-0.19363068396599897,-1
009d5c81,train,train,4,14,14,196,1.0,0.7825977230991588,2,0.8214285714285714,2,17.5,30.0,1.0625,1.125,0.2032967032967033,14,14,196,1.0,0.617448295789468,1,0.8469387755102041,1,30.0,30.0,1.125,1.125,0.17032967032967034,0,-1,-0.16514942730969073,-1
009d5c81,train,test,0,14,14,196,1.0,0.7557315970062233,2,0.8367346938775511,2,16.0,26.0,1.625,2.25,0.17032967032967034,14,14,196,1.0,0.564669579752567,1,0.8673469387755102,1,26.0,26.0,2.25,2.25,0.12637362637362637,0,-1,-0.19106201725365624,-1
00d62c1b,train,train,0,10,10,100,1.0,0.8687212463394045,1,0.71,1,29.0,29.0,1.125,1.125,0.35555555555555557,10,10,100,1.0,1.165404872675964,2,0.65,4,8.75,29.0,1.03125,1.125,0.35555555555555557,0,3,0.29668362633655954,1
00d62c1b,train,train,1,10,10,100,1.0,0.6098403047164004,1,0.85,1,15.0,15.0,1.1666666666666667,1.1666666666666667,0.26666666666666666,10,10,100,1.0,0.6882759652992883,2,0.84,2,8.0,15.0,1.0833333333333335,1.1666666666666667,0.26666666666666666,0,1,0.07843566058288787,1
00d62c1b,train,train,2,10,10,100,1.0,0.7601675029619657,1,0.78,1,22.0,22.0,1.0,1.0,0.35555555555555557,10,10,100,1.0,1.1626061083677746,2,0.69,3,10.333333333333334,22.0,1.3333333333333333,2.0,0.35555555555555557,0,2,0.4024386054058089,1
00d62c1b,train,train,3,20,20,400,1.0,0.651953759786222,1,0.8325,8,8.375,49.0,1.03125,1.25,0.20789473684210527,20,20,400,1.0,1.0238404581276304,2,0.755,12,8.166666666666666,49.0,1.0625,1.5,0.20789473684210527,0,4,0.3718866983414083,1
00d62c1b,train,train,4,6,6,36,1.0,0.6500224216483541,1,0.8333333333333334,1,6.0,6.0,1.0,1.0,0.4,6,6,36,1.0,0.9444885341662053,2,0.7777777777777778,2,4.0,6.0,1.0,1.0,0.4,0,1,0.29446611251785115,1
00d62c1b,train,test,0,20,20,400,1.0,0.7118146702143195,1,0.805,3,26.0,58.0,1.38034188034188,1.5,0.23684210526315788,20,20,400,1.0,1.0956564366427735,2,0.7225,11,10.090909090909092,58.0,1.7552447552447552,4.0,0.23684210526315788,0,8,0.3838417664284539,1
00dbd492,train,train,0,15,15,225,1.0,0.7642045065086203,1,0.7777777777777778,4,12.5,32.0,1.0,1.0,0.19285714285714287,15,15,225,1.0,1.6148730874081616,3,0.5288888888888889,6,17.666666666666668,48.0,1.0,1.0,0.19285714285714287,0,2,0.8506685808995413,2
00dbd492,train,train,1,9,9,81,1.0,0.8915996278279094,1,0.691358024691358,2,12.5,24.0,1.0,1.0,0.2638888888888889,9,9,81,1.0,1.572745005826898,2,0.3950617283950617,3,16.333333333333332,24.0,1.0,1.0,0.2638888888888889,0,1,0.6811453779989886,1
00dbd492,train,train,2,13,13,169,1.0,0.8089250754728767,1,0.7514792899408284,4,10.5,24.0,1.0,1.0,0.24358974358974358,13,13,169,1.0,1.5745320128179494,3,0.5621301775147929,6,12.333333333333334,24.0,1.0,1.0,0.24358974358974358,0,2,0.7656069373450727,2
00dbd492,train,train,3,7,7,49,1.0,0.9313043685793763,1,0.6530612244897959,2,8.5,16.0,1.0,1.0,0.30952380952380953,7,7,49,1.0,1.4611186539404426,2,0.4897959183673469,3,8.333333333333334,16.0,1.0,1.0,0.30952380952380953,0,1,0.5298142853610663,1
00dbd492,train,test,0,20,20,400,1.0,0.7780113035465377,1,0.77,8,11.5,32.0,1.0,1.0,0.24605263157894736,20,20,400,1.0,1.7583958473132408,4,0.55,12,15.0,48.0,1.0,1.0,0.24605263157894736,0,4,0.9803845437667031,3
017c7c7b,train,train,0,6,3,18,2.0,1.0,1,0.5,1,9.0,9.0,2.0,2.0,1.0,9,3,27,3.0,0.9990102708804813,1,0.5185185185185185,1,13.0,13.0,3.0,3.0,1.0,9,0,-0.0009897291195186675,0
017c7c7b,train,train,1,6,3,18,2.0,1.0,1,0.5,1,9.0,9.0,2.0,2.0,0.5185185185185185,9,3,27,3.0,0.9990102708804813,1,0.5185185185185185,1,13.0,13.0,3.0,3.0,0.5238095238095238,9,0,-0.0009897291195186675,0
017c7c7b,train,train,2,6,3,18,2.0,0.9910760598382222,1,0.5555555555555556,1,8.0,8.0,3.0,3.0,0.5185185185185185,9,3,27,3.0,0.9910760598382222,1,0.5555555555555556,1,12.0,12.0,4.5,4.5,0.5,9,0,0.0,0
017c7c7b,train,test,0,6,3,18,2.0,0.9910760598382222,1,0.4444444444444444,1,10.0,10.0,2.0,2.0,0.5185185185185185,9,3,27,3.0,0.9910760598382222,1,0.4444444444444444,1,15.0,15.0,3.0,3.0,0.5238095238095238,9,0,0.0,0
025d127b,train,train,0,8,9,72,1.125,0.7642045065086203,1,0.7777777777777778,1,16.0,16.0,1.6,1.6,0.33070866141732286,8,9,72,1.125,0.7642045065086203,1,0.7777777777777778,1,16.0,16.0,1.4,1.4,0.29133858267716534,0,0,0.0,0
025d127b,train,train,1,14,9,126,1.5555555555555556,0.7853821600685436,2,0.8412698412698413,2,10.0,12.0,1.2666666666666666,1.3333333333333333,0.2445414847161572,14,9,126,1.5555555555555556,0.7853821600685436,2,0.8412698412698413,2,10.0,12.0,1.0,1.0,0.2096069868995633,0,0,0.0,0
025d127b,train,test,0,10,10,100,1.0,0.6800770457282799,1,0.82,1,18.0,18.0,1.8,1.8,0.25555555555555554,10,10,100,1.0,0.6800770457282799,1,0.82,1,18.0,18.0,1.6,1.6,0.22777777777777777,0,0,0.0,0
03560426,train,train,0,10,10,100,1.0,1.075949208932363,3,0.78,3,7.333333333333333,12.0,1.2777777777777777,1.5,0.1,10,10,100,1.0,1.003129610749828,3,0.8,3,6.666666666666667,11.0,1.2777777777777777,1.5,0.11666666666666667,0,0,-0.07281959818253503,0
03560426,train,train,1,10,10,100,1.0,1.0355657959446267,4,0.82,4,4.5,6.0,1.875,4.0,0.12222222222222222,10,10,100,1.0,0.9046797392700408,4,0.85,4,3.75,5.0,1.875,4.0,0.1388888888888889,0,0,-0.13088605667458597,0
03560426,train,train,2,10,10,100,1.0,1.0998528041879947,3,0.78,3,7.333333333333333,9.0,2.6666666666666665,5.0,0.12777777777777777,10,10,100,1.0,1.0245056191909943,3,0.8,3,6.666666666666667,9.0,2.3333333333333335,4.0,0.1388888888888889,0,0,-0.07534718499700044,0
03560426,train,test,0,10,10,100,1.0,0.9899268366918731,4,0.83,4,4.25,6.0,2.375,4.0,0.14444444444444443,10,10,100,1.0,0.8536232209649177,4,0.86,4,3.5,5.0,1.875,3.0,0.11666666666666667,0,0,-0.13630361572695537,0
045e512c,train,train,0,21,21,441,1.0,0.15443010077042602,3,0.981859410430839,4,2.0,5.0,1.0,1.0,0.02857142857142857,21,21,441,1.0,0.535454123469244,3,0.9160997732426304,8,4.625,5.0,1.1875,1.5,0.09642857142857143,0,4,0.381024022698818,0
045e512c,train,train,1,21,21,441,1.0,0.2479564558471434,3,0.9682539682539683,3,4.666666666666667,8.0,2.3333333333333335,3.0,0.0380952380952381,21,21,441,1.0,0.7330853336895227,3,0.873015873015873,7,8.0,8.0,1.0,1.0,0.1261904761904762,0,4,0.48512887784237924,0
045e512c,train,train,2,21,21,441,1.0,0.20416412485466717,3,0.9750566893424036,3,3.6666666666666665,6.0,1.0,1.0,0.0380952380952381,21,21,441,1.0,0.4826042731621105,3,0.927437641723356,6,5.333333333333333,6.0,1.1666666666666667,1.5,0.0988095238095238,0,3,0.27844014830744335,0
045e512c,train,test,0,21,21,441,1.0,0.2763637397186606,4,0.9659863945578231,4,3.75,7.0,2.25,3.0,0.04523809523809524,21,21,441,1.0,0.8090014129714567,4,0.8684807256235828,10,5.8,7.0,1.25,2.0,0.15357142857142858,0,6,0.5326376732527961,0
0520fde7,train,train,0,3,7,21,2.3333333333333335,1.4411665441579466,2,0.38095238095238093,3,4.333333333333333,5.0,1.6666666666666667,3.0,0.71875,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,1,3.0,3.0,1.5,1.5,0.75,-12,-2,-0.5228707101034571,-1
0520fde7,train,train,1,3,7,21,2.3333333333333335,1.4180260055608094,2,0.5238095238095238,3,3.3333333333333335,4.0,2.0,3.0,0.65625,3,3,9,1.0,0.5032583347756457,1,0.8888888888888888,1,1.0,1.0,1.0,1.0,0.3333333333333333,-12,-2,-0.9147676707851636,-1
0520fde7,train,train,2,3,7,21,2.3333333333333335,1.4488156357251847,2,0.42857142857142855,4,3.0,5.0,2.0,3.0,0.625,3,3,9,1.0,0.7642045065086203,1,0.7777777777777778,2,1.0,1.0,1.0,1.0,0.4166666666666667,-12,-2,-0.6846111292165644,-1
0520fde7,train,test,0,3,7,21,2.3333333333333335,1.4411665441579466,2,0.38095238095238093,3,4.333333333333333,5.0,1.6666666666666667,3.0,0.84375,3,3,9,1.0,0.7642045065086203,1,0.7777777777777778,2,1.0,1.0,1.0,1.0,0.3333333333333333,-12,-1,-0.6769620376493264,-1
05269061,train,train,0,7,7,49,1.0,1.1838057113627303,3,0.7551020408163265,3,4.0,5.0,1.0,1.0,0.3333333333333333,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.40055988170644197,0
05269061,train,train,1,7,7,49,1.0,0.7150308246386026,3,0.8775510204081632,3,2.0,3.0,1.0,1.0,0.14285714285714285,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.8693347684305697,0
05269061,train,train,2,7,7,49,1.0,1.3679108220483656,3,0.6938775510204082,3,5.0,6.0,1.0,1.0,0.5238095238095238,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.21645477102080668,0
05269061,train,test,0,7,7,49,1.0,1.0622051509466475,3,0.7755102040816326,3,3.6666666666666665,7.0,1.0,1.0,0.42857142857142855,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.5221604421225248,0
05a7bcf2,train,train,0,30,30,900,1.0,0.6507848421073789,3,0.89,6,16.5,56.0,7.333333333333333,30.0,0.10229885057471265,30,30,900,1.0,1.3444509413512142,4,0.6922222222222222,18,15.38888888888889,173.0,1.8935185185185182,4.0,0.2,0,12,0.6936660992438354,1
05a7bcf2,train,train,1,30,30,900,1.0,0.638241350254391,3,0.8955555555555555,6,15.666666666666666,46.0,7.583333333333333,30.0,0.10172413793103448,30,30,900,1.0,1.4068970893478356,4,0.6611111111111111,18,16.944444444444443,202.0,1.5414230019493178,2.5,0.19310344827586207,0,12,0.7686557390934446,1
05a7bcf2,train,train,2,30,30,900,1.0,0.6637575744536341,3,0.8877777777777778,5,20.2,56.0,9.3,30.0,0.1,30,30,900,1.0,1.5088629188994949,4,0.6166666666666667,14,24.642857142857142,224.0,2.026190476190476,5.0,0.16839080459770114,0,9,0.8451053444458607,1
05a7bcf2,train,test,0,30,30,900,1.0,0.779829294648613,3,0.86,7,18.0,73.0,6.571428571428571,30.0,0.11666666666666667,30,30,900,1.0,1.730762440047076,4,0.5111111111111111,19,23.157894736842106,275.0,1.7471375807940905,4.5,0.20689655172413793,0,12,0.9509331453984631,1
05f2a901,train,train,0,9,10,90,1.1111111111111112,0.7243876669242503,2,0.8555555555555555,2,6.5,9.0,1.1666666666666665,1.3333333333333333,0.13043478260869565,9,10,90,1.1111111111111112,0.7243876669242503,2,0.8555555555555555,2,6.5,9.0,1.1666666666666665,1.3333333333333333,0.13043478260869565,0,0,0.0,0
05f2a901,train,train,1,14,9,126,1.5555555555555556,0.4769976184274935,2,0.9206349206349206,2,5.0,6.0,1.5,2.0,0.09170305676855896,14,9,126,1.5555555555555556,0.4769976184274935,2,0.9206349206349206,2,5.0,6.0,1.5,2.0,0.08733624454148471,0,0,0.0,0
05f2a901,train,train,2,11,10,110,1.1,0.6597626133600722,2,0.8727272727272727,2,7.0,10.0,1.3333333333333335,1.6666666666666667,0.12060301507537688,11,10,110,1.1,0.6597626133600722,2,0.8727272727272727,2,7.0,10.0,1.3333333333333335,1.6666666666666667,0.11055276381909548,0,0,0.0,0
05f2a901,train,test,0,11,10,110,1.1,0.5277652227810288,2,0.9090909090909091,2,5.0,6.0,1.5,2.0,0.10050251256281408,11,10,110,1.1,0.5277652227810288,2,0.9090909090909091,2,5.0,6.0,1.5,2.0,0.09547738693467336,0,0,0.0,0
0607ce86,train,train,0,21,22,462,1.0476190476190477,2.0129711394145895,4,0.44372294372294374,61,4.213114754098361,19.0,2.031420765027322,5.0,0.4517593643586833,21,22,462,1.0476190476190477,1.9440606440495232,4,0.512987012987013,36,6.25,8.0,3.25,5.0,0.337116912599319,0,-25,-0.06891049536506633,0
0607ce86,train,train,1,23,22,506,1.0454545454545454,1.5724841370926443,3,0.5928853754940712,45,4.5777777777777775,24.0,1.8918518518518517,6.0,0.32574974146845914,23,22,506,1.0454545454545454,1.4572282022929246,3,0.6442687747035574,24,7.5,8.0,3.0,6.0,0.2233712512926577,0,-21,-0.11525593479971974,0
0607ce86,train,train,2,22,22,484,1.0,1.4203839965843963,3,0.640495867768595,46,3.782608695652174,12.0,1.4438405797101448,2.5,0.354978354978355,22,22,484,1.0,1.2964456886517555,3,0.7024793388429752,27,5.333333333333333,8.0,1.7777777777777781,2.0,0.2532467532467532,0,-19,-0.12393830793264082,0
0607ce86,train,test,0,24,22,528,1.0909090909090908,1.686321974561478,3,0.5132575757575758,64,4.015625,17.0,1.38828125,2.5,0.4287128712871287,24,22,528,1.0909090909090908,1.5976776622763849,3,0.5738636363636364,45,5.0,13.0,1.4,2.0,0.30297029702970296,0,-19,-0.08864431228509306,0
0692e18c,train,train,0,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,1,3.0,3.0,1.0,1.0,0.6666666666666666,9,9,81,1.0,0.7642045065086203,1,0.7777777777777778,3,6.0,6.0,1.0,1.0,0.2777777777777778,72,2,-0.1540913275458693,0
0692e18c,train,train,1,3,3,9,1.0,0.9910760598382222,1,0.4444444444444444,1,5.0,5.0,1.0,1.0,0.6666666666666666,9,9,81,1.0,0.8063495153650777,1,0.7530864197530864,12,1.6666666666666667,3.0,1.0,1.0,0.3888888888888889,72,11,-0.18472654447314452,0
0692e18c,train,train,2,3,3,9,1.0,0.9910760598382222,1,0.5555555555555556,1,4.0,4.0,1.0,1.0,0.5,9,9,81,1.0,0.8063495153650777,1,0.7530864197530864,2,10.0,10.0,2.0,2.0,0.2777777777777778,72,1,-0.18472654447314452,0
0692e18c,train,test,0,3,3,9,1.0,0.9910760598382222,1,0.5555555555555556,1,4.0,4.0,1.0,1.0,0.6666666666666666,9,9,81,1.0,0.8063495153650777,1,0.7530864197530864,5,4.0,13.0,1.0,1.0,0.3611111111111111,72,4,-0.18472654447314452,0
06df4c85,train,train,0,23,23,529,1.0,1.377578067084391,5,0.42344045368620037,9,33.888888888888886,273.0,1.0,1.0,0.4426877470355731,23,23,529,1.0,1.6359677166521773,5,0.3553875236294896,18,18.944444444444443,273.0,1.0,1.0,0.4426877470355731,0,9,0.25838964956778643,0
06df4c85,train,train,1,20,20,400,1.0,1.3500765458257251,4,0.43,7,32.57142857142857,204.0,1.0,1.0,0.4421052631578947,20,20,400,1.0,1.5126430906950323,4,0.38,12,20.666666666666668,204.0,1.0,1.0,0.4421052631578947,0,5,0.16256654486930722,0
06df4c85,train,train,2,23,23,529,1.0,1.261843401040256,3,0.43856332703213613,7,42.42857142857143,273.0,1.0,1.0,0.4426877470355731,23,23,529,1.0,1.4835671737190497,3,0.3705103969754253,16,20.8125,273.0,1.0,1.0,0.4426877470355731,0,9,0.22172377267879373,0
06df4c85,train,test,0,26,26,676,1.0,1.2331500177648076,4,0.4437869822485207,7,53.714285714285715,352.0,1.0,1.0,0.4430769230769231,26,26,676,1.0,1.4329547305625765,4,0.3905325443786982,16,25.75,352.0,1.0,1.0,0.4430769230769231,0,9,0.1998047127977689,0
070dd51e,train,train,0,20,10,200,2.0,0.40249336186032425,5,0.95,10,1.0,1.0,1.0,1.0,0.10810810810810811,20,10,200,2.0,0.9208173999551764,5,0.855,8,3.625,9.0,3.625,9.0,0.1837837837837838,0,-2,0.5183240380948522,0
070dd51e,train,train,1,30,20,600,1.5,0.16099039865083078,5,0.9833333333333333,10,1.0,1.0,1.0,1.0,0.034782608695652174,30,20,600,1.5,0.5135086125698234,5,0.9316666666666666,7,5.857142857142857,12.0,5.857142857142857,12.0,0.08,0,-3,0.35251821391899263,0
070dd51e,train,test,0,20,20,400,1.0,0.22670913386885427,5,0.975,10,1.0,1.0,1.0,1.0,0.05263157894736842,20,20,400,1.0,0.8543970616793377,5,0.8675,8,6.625,18.0,6.625,18.0,0.15263157894736842,0,-2,0.6276879278104834,0
08ed6ac7,train,train,0,9,9,81,1.0,0.7858895831387682,1,0.7654320987654321,4,4.75,8.0,4.75,8.0,0.2916666666666667,9,9,81,1.0,1.2192350433979202,4,0.7654320987654321,4,4.75,8.0,4.75,8.0,0.2916666666666667,0,0,0.433345460259152,3
08ed6ac7,train,train,1,9,9,81,1.0,0.9054522631867892,1,0.6790123456790124,4,6.5,9.0,6.5,9.0,0.3819444444444444,9,9,81,1.0,1.5155441786460135,4,0.6790123456790124,4,6.5,9.0,6.5,9.0,0.3819444444444444,0,0,0.6100919154592244,3
08ed6ac7,train,test,0,9,9,81,1.0,0.8607781176165942,1,0.7160493827160493,4,5.75,8.0,5.75,8.0,0.3472222222222222,9,9,81,1.0,1.4043079022870606,4,0.7160493827160493,4,5.75,8.0,5.75,8.0,0.3472222222222222,0,0,0.5435297846704664,3
09629e4f,train,train,0,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7727272727272727,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,1,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.75,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,2,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7454545454545455,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,3,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7545454545454545,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,test,0,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.740909090909091,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
0962bcdd,train,train,0,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3522727272727273,0,0,0.6100537014421343,0
0962bcdd,train,train,1,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3522727272727273,0,0,0.6100537014421343,0
0962bcdd,train,test,0,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3409090909090909,0,0,0.6100537014421343,0
09c534e7,train,train,0,20,20,400,1.0,0.9560181853222232,4,0.69,6,20.666666666666668,50.0,1.3333333333333333,2.0,0.18026315789473685,20,20,400,1.0,1.2038517964554893,4,0.69,12,10.333333333333334,43.0,1.4166666666666667,2.0,0.2381578947368421,0,6,0.24783361113326619,0
09c534e7,train,train,1,30,30,900,1.0,0.9536857374767949,3,0.6522222222222223,4,78.25,180.0,1.2456293706293706,1.8461538461538463,0.17586206896551723,30,30,900,1.0,1.3003480480006748,3,0.6522222222222223,19,16.473684210526315,133.0,1.235921972764078,2.3333333333333335,0.24482758620689654,0,15,0.34666231052387997,0
09c534e7,train,train,2,18,18,324,1.0,1.0601732496838405,4,0.5802469135802469,6,22.666666666666668,61.0,1.4930555555555556,2.3333333333333335,0.25,18,18,324,1.0,1.369864943619054,4,0.5802469135802469,13,10.461538461538462,48.0,1.4583333333333335,2.3333333333333335,0.3284313725490196,0,7,0.30969169393521345,0
09c534e7,train,test,0,30,30,900,1.0,1.0310676024005636,4,0.5311111111111111,6,70.33333333333333,177.0,1.579120879120879,2.7,0.2057471264367816,30,30,900,1.0,1.6322712079464357,4,0.5311111111111111,23,18.347826086956523,127.0,1.5786112438286353,2.7,0.3022988505747126,0,17,0.601203605545872,0
0a1d4ef5,train,train,0,30,30,900,1.0,2.259825636892263,7,0.47,135,3.533333333333333,32.0,1.260925925925926,4.0,0.5264367816091954,2,3,6,1.5,2.2516291673878226,5,0.0,5,1.2,2.0,1.0,1.0,1.0,-894,-130,-0.008196469504440529,-2
0a1d4ef5,train,train,1,30,30,900,1.0,2.4405906347310884,7,0.40444444444444444,120,4.466666666666667,35.0,1.2491666666666668,4.0,0.5298850574712644,3,3,9,1.0,2.2810361125534238,5,0.0,8,1.125,2.0,1.0,1.0,1.0,-891,-112,-0.15955452217766464,-2
0a1d4ef5,train,train,2,30,30,900,1.0,2.288627833211702,7,0.4088888888888889,121,4.396694214876033,30.0,1.3803030303030301,4.0,0.5660919540229885,3,3,9,1.0,2.197159723424149,5,0.0,9,1.0,1.0,1.0,1.0,1.0,-891,-112,-0.09146810978755271,-2
0a1d4ef5,train,test,0,30,30,900,1.0,2.648348806266571,8,0.3788888888888889,139,4.0215827338129495,30.0,1.292925659472422,4.0,0.49770114942528737,4,3,12,1.3333333333333333,2.5220552088742,6,0.0,10,1.2,2.0,1.1,2.0,0.9411764705882353,-888,-129,-0.12629359739237112,-2
0a2355a6,train,train,0,14,14,196,1.0,0.8562836965025237,1,0.7193877551020408,4,13.75,18.0,1.5,2.3333333333333335,0.2774725274725275,14,14,196,1.0,1.3001138190478894,3,0.7193877551020408,4,13.75,18.0,1.5,2.3333333333333335,0.2774725274725275,0,0,0.4438301225453657,2
0a2355a6,train,train,1,14,11,154,1.2727272727272727,0.950771758230345,1,0.6298701298701299,4,14.25,20.0,1.05,1.2,0.35335689045936397,14,11,154,1.2727272727272727,1.535906425182553,3,0.6298701298701299,4,14.25,20.0,1.05,1.2,0.35335689045936397,0,0,0.585134666952208,2
0a2355a6,train,train,2,15,14,210,1.0714285714285714,0.9402859586706311,1,0.6428571428571429,4,18.75,26.0,1.5875,2.5,0.3375959079283887,15,14,210,1.0714285714285714,1.6110172175808908,4,0.6428571428571429,4,18.75,26.0,1.5875,2.5,0.3375959079283887,0,0,0.6707312589102596,3
