task_id,subset,pair_type,pair_idx,grid_type,4_SameColor_count,4_SameColor_mean_size,4_SameColor_max_size,4_SameColor_mean_elong,4_SameColor_max_elong,4_NonBG_count,4_NonBG_mean_size,4_NonBG_max_size,4_NonBG_mean_elong,4_NonBG_max_elong,8_SameColor_count,8_SameColor_mean_size,8_SameColor_max_size,8_SameColor_mean_elong,8_SameColor_max_elong,8_NonBG_count,8_NonBG_mean_size,8_NonBG_max_size,8_NonBG_mean_elong,8_NonBG_max_elong,color_diversity,border_touching_ratio
007bbfb7,Training,train,2,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
007bbfb7,Training,train,2,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
007bbfb7,Training,train,3,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
007bbfb7,Training,train,3,output,2,7.5,9.0,7.5,9.0,2,7.5,9.0,7.5,9.0,2,7.5,9.0,7.5,9.0,2,7.5,9.0,7.5,9.0,1.0,1.0
007bbfb7,Training,train,4,input,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1.0,1.0
007bbfb7,Training,train,4,output,1,49.0,49.0,1.0,1.0,1,49.0,49.0,1.0,1.0,1,49.0,49.0,1.0,1.0,1,49.0,49.0,1.0,1.0,1.0,1.0
007bbfb7,Training,test,0,input,1,4.0,4.0,1.5,1.5,1,4.0,4.0,1.5,1.5,1,6.0,6.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1.0,1.0
007bbfb7,Training,test,0,output,3,8.666666666666666,12.0,2.8333333333333335,4.5,3,8.666666666666666,12.0,2.8333333333333335,4.5,1,36.0,36.0,1.0,1.0,1,36.0,36.0,1.0,1.0,1.0,1.0
009d5c81,Training,train,0,input,2,18.0,31.0,1.375,1.5,2,18.0,31.0,1.375,1.5,2,18.5,31.0,1.125,1.25,2,18.5,31.0,1.125,1.25,2.0,0.5
009d5c81,Training,train,0,output,1,31.0,31.0,1.25,1.25,1,31.0,31.0,1.25,1.25,1,31.0,31.0,1.25,1.25,1,31.0,31.0,1.25,1.25,1.0,1.0
009d5c81,Training,train,1,input,3,4.666666666666667,5.0,1.5,1.5,3,4.666666666666667,5.0,1.5,1.5,2,10.0,14.0,1.6666666666666667,2.3333333333333335,2,10.0,14.0,1.6666666666666667,2.3333333333333335,2.0,0.0
009d5c81,Training,train,1,output,2,5.0,5.0,1.5,1.5,2,5.0,5.0,1.5,1.5,1,14.0,14.0,2.3333333333333335,2.3333333333333335,1,14.0,14.0,2.3333333333333335,2.3333333333333335,1.0,0.0
009d5c81,Training,train,2,input,2,14.5,24.0,1.4,1.8,2,14.5,24.0,1.4,1.8,2,14.5,24.0,1.4,1.8,2,14.5,24.0,1.4,1.8,2.0,0.5
009d5c81,Training,train,2,output,1,24.0,24.0,1.8,1.8,1,24.0,24.0,1.8,1.8,1,24.0,24.0,1.8,1.8,1,24.0,24.0,1.8,1.8,1.0,1.0
009d5c81,Training,train,3,input,3,4.0,4.0,1.5,1.5,3,4.0,4.0,1.5,1.5,2,11.0,16.0,1.0833333333333335,1.1666666666666667,2,11.0,16.0,1.0833333333333335,1.1666666666666667,2.0,0.0
009d5c81,Training,train,3,output,2,4.0,4.0,1.5,1.5,2,4.0,4.0,1.5,1.5,1,16.0,16.0,1.1666666666666667,1.1666666666666667,1,16.0,16.0,1.1666666666666667,1.1666666666666667,1.0,0.0
009d5c81,Training,train,4,input,2,17.5,30.0,1.0625,1.125,2,17.5,30.0,1.0625,1.125,2,17.5,30.0,1.0625,1.125,2,17.5,30.0,1.0625,1.125,2.0,0.0
009d5c81,Training,train,4,output,1,30.0,30.0,1.125,1.125,1,30.0,30.0,1.125,1.125,1,30.0,30.0,1.125,1.125,1,30.0,30.0,1.125,1.125,1.0,0.0
009d5c81,Training,test,0,input,2,15.5,26.0,1.875,2.25,2,15.5,26.0,1.875,2.25,2,16.0,26.0,1.625,2.25,2,16.0,26.0,1.625,2.25,2.0,0.5
009d5c81,Training,test,0,output,1,26.0,26.0,2.25,2.25,1,26.0,26.0,2.25,2.25,1,26.0,26.0,2.25,2.25,1,26.0,26.0,2.25,2.25,1.0,1.0
00d62c1b,Training,train,0,input,1,25.0,25.0,1.1428571428571428,1.1428571428571428,1,25.0,25.0,1.1428571428571428,1.1428571428571428,1,29.0,29.0,1.125,1.125,1,29.0,29.0,1.125,1.125,1.0,1.0
00d62c1b,Training,train,0,output,2,14.5,25.0,1.0714285714285714,1.1428571428571428,1,35.0,35.0,1.125,1.125,2,16.5,29.0,1.0625,1.125,1,35.0,35.0,1.125,1.125,2.0,0.5
00d62c1b,Training,train,1,input,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,15.0,15.0,1.1666666666666667,1.1666666666666667,1,15.0,15.0,1.1666666666666667,1.1666666666666667,1.0,0.0
00d62c1b,Training,train,1,output,1,5.0,5.0,1.0,1.0,2,5.5,6.0,1.0,1.0,1,15.0,15.0,1.1666666666666667,1.1666666666666667,1,16.0,16.0,1.1666666666666667,1.1666666666666667,1.0,0.0
00d62c1b,Training,train,2,input,2,4.5,5.0,3.0,4.0,2,4.5,5.0,3.0,4.0,1,22.0,22.0,1.0,1.0,1,22.0,22.0,1.0,1.0,1.0,1.0
00d62c1b,Training,train,2,output,3,5.666666666666667,8.0,2.6666666666666665,4.0,1,25.0,25.0,1.1666666666666667,1.1666666666666667,2,15.0,22.0,1.5,2.0,1,31.0,31.0,1.0,1.0,2.0,0.5
00d62c1b,Training,train,3,input,3,18.666666666666668,43.0,2.2444444444444445,4.0,3,18.666666666666668,43.0,2.2444444444444445,4.0,2,30.0,49.0,1.125,1.25,2,30.0,49.0,1.125,1.25,1.0,0.0
00d62c1b,Training,train,3,output,5,16.8,43.0,1.846666666666667,4.0,2,44.0,78.0,1.2916666666666665,1.3333333333333333,4,22.0,49.0,1.1875,1.5,2,45.5,79.0,1.125,1.25,2.0,0.0
00d62c1b,Training,train,4,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1.0,0.0
00d62c1b,Training,train,4,output,0,0.0,0.0,1.0,1.0,1,8.0,8.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1,8.0,8.0,1.0,1.0,1.0,0.0
00d62c1b,Training,test,0,input,4,16.25,33.0,1.4375,1.5,4,16.25,33.0,1.4375,1.5,3,26.0,58.0,1.38034188034188,1.5,3,26.0,58.0,1.38034188034188,1.5,1.0,0.0
00d62c1b,Training,test,0,output,7,12.857142857142858,33.0,1.8452380952380951,4.0,4,27.5,54.0,1.6,2.4,6,17.166666666666668,58.0,1.8846153846153844,4.0,3,37.0,84.0,1.38034188034188,1.5,2.0,0.0
00dbd492,Training,train,0,input,2,24.0,32.0,1.0,1.0,2,24.0,32.0,1.0,1.0,2,24.0,32.0,1.0,1.0,2,24.0,32.0,1.0,1.0,1.0,1.0
00dbd492,Training,train,0,output,4,26.0,48.0,1.0,1.0,2,53.0,81.0,1.0,1.0,4,26.0,48.0,1.0,1.0,2,53.0,81.0,1.0,1.0,3.0,0.5
00dbd492,Training,train,1,input,1,24.0,24.0,1.0,1.0,1,24.0,24.0,1.0,1.0,1,24.0,24.0,1.0,1.0,1,24.0,24.0,1.0,1.0,1.0,1.0
00dbd492,Training,train,1,output,2,24.0,24.0,1.0,1.0,1,49.0,49.0,1.0,1.0,2,24.0,24.0,1.0,1.0,1,49.0,49.0,1.0,1.0,2.0,0.5
00dbd492,Training,train,2,input,2,20.0,24.0,1.0,1.0,2,20.0,24.0,1.0,1.0,2,20.0,24.0,1.0,1.0,2,20.0,24.0,1.0,1.0,1.0,1.0
00dbd492,Training,train,2,output,4,18.0,24.0,1.0,1.0,2,37.0,49.0,1.0,1.0,4,18.0,24.0,1.0,1.0,2,37.0,49.0,1.0,1.0,3.0,0.5
00dbd492,Training,train,3,input,1,16.0,16.0,1.0,1.0,1,16.0,16.0,1.0,1.0,1,16.0,16.0,1.0,1.0,1,16.0,16.0,1.0,1.0,1.0,1.0
00dbd492,Training,train,3,output,2,12.0,16.0,1.0,1.0,1,25.0,25.0,1.0,1.0,2,12.0,16.0,1.0,1.0,1,25.0,25.0,1.0,1.0,2.0,0.5
00dbd492,Training,test,0,input,4,22.0,32.0,1.0,1.0,4,22.0,32.0,1.0,1.0,4,22.0,32.0,1.0,1.0,4,22.0,32.0,1.0,1.0,1.0,0.25
00dbd492,Training,test,0,output,8,22.0,48.0,1.0,1.0,4,45.0,81.0,1.0,1.0,8,22.0,48.0,1.0,1.0,4,45.0,81.0,1.0,1.0,4.0,0.125
017c7c7b,Training,train,0,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,9.0,9.0,2.0,2.0,1,9.0,9.0,2.0,2.0,1.0,1.0
017c7c7b,Training,train,0,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,13.0,13.0,3.0,3.0,1,13.0,13.0,3.0,3.0,1.0,1.0
017c7c7b,Training,train,1,input,1,9.0,9.0,2.0,2.0,1,9.0,9.0,2.0,2.0,1,9.0,9.0,2.0,2.0,1,9.0,9.0,2.0,2.0,1.0,1.0
017c7c7b,Training,train,1,output,1,13.0,13.0,3.0,3.0,1,13.0,13.0,3.0,3.0,1,13.0,13.0,3.0,3.0,1,13.0,13.0,3.0,3.0,1.0,1.0
017c7c7b,Training,train,2,input,1,8.0,8.0,3.0,3.0,1,8.0,8.0,3.0,3.0,1,8.0,8.0,3.0,3.0,1,8.0,8.0,3.0,3.0,1.0,1.0
017c7c7b,Training,train,2,output,1,12.0,12.0,4.5,4.5,1,12.0,12.0,4.5,4.5,1,12.0,12.0,4.5,4.5,1,12.0,12.0,4.5,4.5,1.0,1.0
017c7c7b,Training,test,0,input,1,10.0,10.0,2.0,2.0,1,10.0,10.0,2.0,2.0,1,10.0,10.0,2.0,2.0,1,10.0,10.0,2.0,2.0,1.0,1.0
017c7c7b,Training,test,0,output,1,15.0,15.0,3.0,3.0,1,15.0,15.0,3.0,3.0,1,15.0,15.0,3.0,3.0,1,15.0,15.0,3.0,3.0,1.0,1.0
025d127b,Training,train,0,input,2,6.0,6.0,2.5,2.5,2,6.0,6.0,2.5,2.5,1,16.0,16.0,1.6,1.6,1,16.0,16.0,1.6,1.6,1.0,1.0
025d127b,Training,train,0,output,2,7.0,8.0,2.0833333333333335,2.5,2,7.0,8.0,2.0833333333333335,2.5,1,16.0,16.0,1.4,1.4,1,16.0,16.0,1.4,1.4,1.0,1.0
025d127b,Training,train,1,input,4,4.0,4.0,1.5,1.5,4,4.0,4.0,1.5,1.5,2,10.0,12.0,1.2666666666666666,1.3333333333333333,2,10.0,12.0,1.2666666666666666,1.3333333333333333,2.0,0.0
025d127b,Training,train,1,output,3,6.0,8.0,1.1666666666666667,1.5,3,6.0,8.0,1.1666666666666667,1.5,2,10.0,12.0,1.0,1.0,2,10.0,12.0,1.0,1.0,2.0,0.0
025d127b,Training,test,0,input,2,7.0,7.0,3.0,3.0,2,7.0,7.0,3.0,3.0,1,18.0,18.0,1.8,1.8,1,18.0,18.0,1.8,1.8,1.0,1.0
025d127b,Training,test,0,output,2,8.0,9.0,2.5,3.0,2,8.0,9.0,2.5,3.0,1,18.0,18.0,1.6,1.6,1,18.0,18.0,1.6,1.6,1.0,1.0
03560426,Training,train,0,input,3,7.333333333333333,12.0,1.2777777777777777,1.5,3,7.333333333333333,12.0,1.2777777777777777,1.5,3,7.333333333333333,12.0,1.2777777777777777,1.5,3,7.333333333333333,12.0,1.2777777777777777,1.5,3.0,1.0
03560426,Training,train,0,output,2,8.5,11.0,1.4166666666666665,1.5,1,20.0,20.0,1.0,1.0,2,8.5,11.0,1.4166666666666665,1.5,1,20.0,20.0,1.0,1.0,2.0,0.5
03560426,Training,train,1,input,4,4.5,6.0,1.875,4.0,4,4.5,6.0,1.875,4.0,4,4.5,6.0,1.875,4.0,4,4.5,6.0,1.875,4.0,4.0,1.0
03560426,Training,train,1,output,2,4.5,5.0,2.75,4.0,1,15.0,15.0,2.0,2.0,2,4.5,5.0,2.75,4.0,1,15.0,15.0,2.0,2.0,2.0,0.5
03560426,Training,train,2,input,3,7.333333333333333,9.0,2.6666666666666665,5.0,3,7.333333333333333,9.0,2.6666666666666665,5.0,3,7.333333333333333,9.0,2.6666666666666665,5.0,3,7.333333333333333,9.0,2.6666666666666665,5.0,3.0,1.0
03560426,Training,train,2,output,3,6.666666666666667,9.0,2.3333333333333335,4.0,1,20.0,20.0,1.3333333333333333,1.3333333333333333,3,6.666666666666667,9.0,2.3333333333333335,4.0,1,20.0,20.0,1.3333333333333333,1.3333333333333333,3.0,0.3333333333333333
03560426,Training,test,0,input,3,4.666666666666667,6.0,2.1666666666666665,4.0,3,4.666666666666667,6.0,2.1666666666666665,4.0,3,4.666666666666667,6.0,2.1666666666666665,4.0,3,4.666666666666667,6.0,2.1666666666666665,4.0,3.0,1.0
03560426,Training,test,0,output,2,4.5,5.0,1.25,1.5,1,14.0,14.0,3.0,3.0,2,4.5,5.0,1.25,1.5,1,14.0,14.0,3.0,3.0,2.0,0.5
045e512c,Training,train,0,input,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1.0,0.0
045e512c,Training,train,0,output,8,4.625,5.0,1.1875,1.5,8,4.625,5.0,1.1875,1.5,8,4.625,5.0,1.1875,1.5,8,4.625,5.0,1.1875,1.5,3.0,0.375
045e512c,Training,train,1,input,1,8.0,8.0,1.0,1.0,1,8.0,8.0,1.0,1.0,1,8.0,8.0,1.0,1.0,1,8.0,8.0,1.0,1.0,1.0,0.0
045e512c,Training,train,1,output,7,8.0,8.0,1.0,1.0,7,8.0,8.0,1.0,1.0,7,8.0,8.0,1.0,1.0,7,8.0,8.0,1.0,1.0,3.0,0.2857142857142857
045e512c,Training,train,2,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1,6.0,6.0,1.0,1.0,1.0,0.0
045e512c,Training,train,2,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,6,5.333333333333333,6.0,1.1666666666666667,1.5,6,5.333333333333333,6.0,1.1666666666666667,1.5,3.0,0.3333333333333333
045e512c,Training,test,0,input,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1.0,0.0
045e512c,Training,test,0,output,8,6.75,7.0,1.0625,1.5,8,6.75,7.0,1.0625,1.5,8,6.75,7.0,1.0625,1.5,8,6.75,7.0,1.0625,1.5,4.0,0.25
0520fde7,Training,train,0,input,1,5.0,5.0,1.0,1.0,1,9.0,9.0,1.6666666666666667,1.6666666666666667,2,5.0,5.0,1.0,1.0,1,13.0,13.0,2.3333333333333335,2.3333333333333335,1.0,1.0
0520fde7,Training,train,0,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0520fde7,Training,train,1,input,1,4.0,4.0,1.5,1.5,1,7.0,7.0,1.3333333333333333,1.3333333333333333,1,4.0,4.0,1.5,1.5,1,7.0,7.0,1.3333333333333333,1.3333333333333333,1.0,1.0
0520fde7,Training,train,1,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0520fde7,Training,train,2,input,1,4.0,4.0,1.5,1.5,1,10.0,10.0,1.6666666666666667,1.6666666666666667,1,5.0,5.0,1.0,1.0,1,10.0,10.0,1.6666666666666667,1.6666666666666667,1.0,1.0
0520fde7,Training,train,2,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0520fde7,Training,test,0,input,0,0.0,0.0,1.0,1.0,1,7.0,7.0,1.0,1.0,2,5.0,5.0,1.0,1.0,1,13.0,13.0,2.3333333333333335,2.3333333333333335,1.0,1.0
0520fde7,Training,test,0,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
05269061,Training,train,0,input,0,0.0,0.0,1.0,1.0,1,12.0,12.0,1.0,1.0,2,4.5,5.0,1.0,1.0,1,12.0,12.0,1.0,1.0,2.0,1.0
05269061,Training,train,0,output,0,0.0,0.0,1.0,1.0,1,49.0,49.0,1.0,1.0,7,5.285714285714286,7.0,1.0,1.0,1,49.0,49.0,1.0,1.0,3.0,1.0
05269061,Training,train,1,input,0,0.0,0.0,1.0,1.0,1,6.0,6.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,6.0,6.0,1.0,1.0,0.0,0.0
05269061,Training,train,1,output,0,0.0,0.0,1.0,1.0,1,49.0,49.0,1.0,1.0,7,5.285714285714286,7.0,1.0,1.0,1,49.0,49.0,1.0,1.0,3.0,1.0
05269061,Training,train,2,input,0,0.0,0.0,1.0,1.0,1,11.0,11.0,1.0,1.0,3,5.0,6.0,1.0,1.0,2,7.5,11.0,1.0,1.0,3.0,1.0
05269061,Training,train,2,output,0,0.0,0.0,1.0,1.0,1,49.0,49.0,1.0,1.0,7,5.285714285714286,7.0,1.0,1.0,1,49.0,49.0,1.0,1.0,3.0,1.0
05269061,Training,test,0,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1,7.0,7.0,1.0,1.0,1.0,1.0
05269061,Training,test,0,output,0,0.0,0.0,1.0,1.0,1,49.0,49.0,1.0,1.0,7,5.285714285714286,7.0,1.0,1.0,1,49.0,49.0,1.0,1.0,3.0,1.0
05a7bcf2,Training,train,0,input,4,23.75,56.0,10.0,30.0,4,23.75,56.0,10.0,30.0,4,23.75,56.0,10.0,30.0,4,23.75,56.0,10.0,30.0,3.0,0.5
05a7bcf2,Training,train,0,output,14,19.214285714285715,173.0,1.863095238095238,4.0,1,277.0,277.0,1.0714285714285714,1.0714285714285714,14,19.214285714285715,173.0,1.863095238095238,4.0,1,277.0,277.0,1.0714285714285714,1.0714285714285714,4.0,0.35714285714285715
05a7bcf2,Training,train,1,input,4,22.25,46.0,10.625,30.0,4,22.25,46.0,10.625,30.0,4,22.25,46.0,10.625,30.0,4,22.25,46.0,10.625,30.0,3.0,0.5
05a7bcf2,Training,train,1,output,15,19.8,202.0,1.5830409356725146,2.5,1,305.0,305.0,1.1111111111111112,1.1111111111111112,15,19.8,202.0,1.5830409356725146,2.5,1,305.0,305.0,1.1111111111111112,1.1111111111111112,4.0,0.4
05a7bcf2,Training,train,2,input,4,24.75,56.0,11.125,30.0,4,24.75,56.0,11.125,30.0,4,24.75,56.0,11.125,30.0,4,24.75,56.0,11.125,30.0,3.0,0.5
05a7bcf2,Training,train,2,output,12,28.333333333333332,224.0,1.947222222222222,5.0,1,345.0,345.0,1.0714285714285714,1.0714285714285714,12,28.333333333333332,224.0,1.947222222222222,5.0,1,345.0,345.0,1.0714285714285714,1.0714285714285714,4.0,0.4166666666666667
05a7bcf2,Training,test,0,input,5,24.8,73.0,8.8,30.0,5,24.8,73.0,8.8,30.0,5,24.8,73.0,8.8,30.0,5,24.8,73.0,8.8,30.0,3.0,0.4
05a7bcf2,Training,test,0,output,16,27.3125,275.0,1.8872258771929826,4.5,1,440.0,440.0,1.0,1.0,16,27.3125,275.0,1.8872258771929826,4.5,1,440.0,440.0,1.0,1.0,4.0,0.375
05f2a901,Training,train,0,input,2,6.5,9.0,1.1666666666666665,1.3333333333333333,2,6.5,9.0,1.1666666666666665,1.3333333333333333,2,6.5,9.0,1.1666666666666665,1.3333333333333333,2,6.5,9.0,1.1666666666666665,1.3333333333333333,2.0,0.5
05f2a901,Training,train,0,output,2,6.5,9.0,1.1666666666666665,1.3333333333333333,1,13.0,13.0,1.0,1.0,2,6.5,9.0,1.1666666666666665,1.3333333333333333,1,13.0,13.0,1.0,1.0,2.0,0.0
05f2a901,Training,train,1,input,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2.0,0.5
05f2a901,Training,train,1,output,2,5.0,6.0,1.5,2.0,1,10.0,10.0,1.25,1.25,2,5.0,6.0,1.5,2.0,1,10.0,10.0,1.25,1.25,2.0,0.5
05f2a901,Training,train,2,input,2,7.0,10.0,1.3333333333333335,1.6666666666666667,2,7.0,10.0,1.3333333333333335,1.6666666666666667,2,7.0,10.0,1.3333333333333335,1.6666666666666667,2,7.0,10.0,1.3333333333333335,1.6666666666666667,2.0,0.0
05f2a901,Training,train,2,output,2,7.0,10.0,1.3333333333333335,1.6666666666666667,1,14.0,14.0,1.0,1.0,2,7.0,10.0,1.3333333333333335,1.6666666666666667,1,14.0,14.0,1.0,1.0,2.0,0.0
05f2a901,Training,test,0,input,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2,5.0,6.0,1.5,2.0,2.0,0.0
05f2a901,Training,test,0,output,2,5.0,6.0,1.5,2.0,1,10.0,10.0,1.0,1.0,2,5.0,6.0,1.5,2.0,1,10.0,10.0,1.0,1.0,2.0,0.0
0607ce86,Training,train,0,input,29,7.068965517241379,12.0,2.8045977011494254,5.0,5,48.2,84.0,1.4733333333333334,2.2,28,7.5,19.0,2.8898809523809526,5.0,4,61.0,84.0,1.9666666666666668,3.5,4.0,0.14285714285714285
0607ce86,Training,train,0,output,36,6.25,8.0,3.25,5.0,9,25.0,25.0,1.0,1.0,36,6.25,8.0,3.25,5.0,9,25.0,25.0,1.0,1.0,4.0,0.0
0607ce86,Training,train,1,input,20,7.75,12.0,2.4166666666666665,6.0,6,32.5,34.0,1.1500000000000001,1.4,20,8.35,24.0,2.4066666666666667,6.0,5,39.2,64.0,1.2895238095238095,1.7142857142857142,3.0,0.05
0607ce86,Training,train,1,output,24,7.5,8.0,3.0,6.0,6,30.0,30.0,1.2,1.2,24,7.5,8.0,3.0,6.0,6,30.0,30.0,1.2,1.2,3.0,0.0
0607ce86,Training,train,2,input,16,7.5,12.0,1.7083333333333335,2.5,9,17.333333333333332,19.0,1.1666666666666667,1.5,17,7.882352941176471,12.0,1.6127450980392155,2.5,10,16.1,19.0,1.1833333333333333,1.5,2.0,0.058823529411764705
0607ce86,Training,train,2,output,18,7.0,8.0,1.6666666666666665,2.0,9,16.0,16.0,1.0,1.0,18,7.0,8.0,1.6666666666666665,2.0,9,16.0,16.0,1.0,1.0,2.0,0.0
0607ce86,Training,test,0,input,26,6.5,13.0,1.3878205128205126,2.5,8,29.75,53.0,1.1714285714285713,1.5714285714285714,20,9.5,17.0,1.2925,2.5,7,34.285714285714285,53.0,1.2209183673469386,1.5714285714285714,2.0,0.05
0607ce86,Training,test,0,output,27,7.0,13.0,1.0,1.0,9,25.0,25.0,1.0,1.0,27,7.0,13.0,1.0,1.0,9,25.0,25.0,1.0,1.0,2.0,0.0
0692e18c,Training,train,0,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0692e18c,Training,train,0,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,3,6.0,6.0,1.0,1.0,3,6.0,6.0,1.0,1.0,1.0,0.6666666666666666
0692e18c,Training,train,1,input,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1.0,1.0
0692e18c,Training,train,1,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
0692e18c,Training,train,2,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,1,4.0,4.0,1.0,1.0,1.0,1.0
0692e18c,Training,train,2,output,4,4.0,4.0,1.0,1.0,4,4.0,4.0,1.0,1.0,2,10.0,10.0,2.0,2.0,2,10.0,10.0,2.0,2.0,1.0,1.0
0692e18c,Training,test,0,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,1,4.0,4.0,1.0,1.0,1.0,1.0
0692e18c,Training,test,0,output,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,2,8.5,13.0,1.0,1.0,2,8.5,13.0,1.0,1.0,1.0,1.0
06df4c85,Training,train,0,input,9,33.888888888888886,273.0,1.0,1.0,1,305.0,305.0,1.0,1.0,9,33.888888888888886,273.0,1.0,1.0,1,305.0,305.0,1.0,1.0,5.0,0.2222222222222222
