task_id,average_squares,is_square_dominant
470c91de,86.0,1
47c1f68c,0.0,0
48131b3c,0.625,0
484b58aa,0.0,0
4852f2fa,0.5,0
48634b99,210.0,1
48d8fb45,0.625,0
48f8583b,0.07142857142857142,0
4938f0c2,1.0,1
494ef9d7,0.0,0
496994bd,3.5,1
49d1d64f,0.125,0
4a1cacc2,92.5,1
4acc7107,3.2,1
4b6b68e5,52.625,1
4be741c5,66.875,1
4c177718,0.5833333333333334,0
4c4377d9,2.1,1
4c5c2cf0,0.625,0
4cd1b7b2,0.0,0
4df5b0ae,114.0,1
4e45f183,140.5,1
4e469f39,0.625,0
4e7e0eb9,76.66666666666667,1
4f537728,42.333333333333336,1
4ff4c9da,40.75,1
5034a0b5,20.0,1
505fff84,1.5833333333333333,1
506d28a5,2.8,1
50846271,17.9,1
508bd3b6,29.0,1
50a16a69,124.5,1
50aad11f,0.5,0
50c07299,928.75,1
50cb2852,45.25,1
50f325b5,1.6,1
5117e062,0.625,0
5168d44c,0.0,0
516b51b7,78.375,1
5207a7b5,13.125,1
522fdd07,387.2,1
52364a65,50.333333333333336,1
5289ad53,53.3,1
52df9849,328.25,1
52fd389e,174.75,1
538b439f,377.3333333333333,1
539a4f51,16.0,1
53b68214,0.0,0
543a7ed5,178.83333333333334,1
54d82841,0.0,0
54d9e175,10.5,1
54db823b,15.9,1
54dc2872,0.0,0
55059096,0.0,0
551d5bf1,60.666666666666664,1
5521c0d9,27.5,1
5582e5ca,2.5,1
5587a8d0,8.875,1
5614dbcf,4.333333333333333,1
5623160b,138.0,1
56dc2b01,0.0,0
56ff96f3,10.0,1
5751f35e,29.166666666666668,1
575b1a71,103.0,1
5783df64,0.0,0
5792cb4d,77.66666666666667,1
57aa92db,33.2,1
57edb29d,506.375,1
5833af48,353.625,1
58743b76,18.0,1
58c02a16,171.875,1
58e15b12,0.0,0
59341089,1.3,1
5a5a2103,6.333333333333333,1
5a719d11,204.375,1
5ad4f10b,55.5,1
5ad8a7c0,0.25,0
5adee1b2,11.666666666666666,1
5af49b42,0.0,0
5b37cb25,1516.3333333333333,1
5b526a93,0.0,0
5b692c0f,24.5,1
5b6cbef5,3.75,1
5bd6f4ac,0.0,0
5c0a986e,2.0,1
5c2c9af4,0.0,0
5d2a5c43,3.7142857142857144,1
5d588b4d,5.25,1
5daaa586,4.125,1
5e6bbc0b,2.6,1
5ecac7f7,10.0,1
5ffb2104,0.5,0
60a26a3e,0.0,0
60b61512,0.6666666666666666,0
60c09cac,3.6666666666666665,1
60d73be6,69.875,1
6150a2bd,0.0,0
6165ea8f,16.8,1
623ea044,0.0,0
626c0bcc,2.375,1
62ab2642,4.625,1
62b74c02,3.125,1
62c24649,0.875,0
6350f1f4,28.9,1
63613498,0.25,0
639f5a19,383.3333333333333,1
642248e4,0.0,0
642d658d,58.75,1
6430c8c4,0.6,0
6455b5f5,83.9,1
64a7c07e,1.0,1
652646ff,114.5,1
662c240a,1.4,1
668eec9a,192.875,1
66ac4c3b,868.1666666666666,1
66e6c45b,0.0,0
66f2d22f,1.0,1
67385a82,0.6,0
673ef223,3.0,1
67636eac,0.0,0
6773b310,0.0,0
67a3c6ac,0.0,0
67a423a3,0.0,0
67c52801,3.0,1
67e8384a,3.1,1
681b3aeb,0.5,0
6855a6e4,0.5,0
689c358e,18.666666666666668,1
68b16354,0.75,0
68b67ca3,0.0,0
68bc2e87,71.5,1
692cd3b6,78.125,1
694f12f3,28.333333333333332,1
695367ec,6.25,1
696d4842,0.0,0
69889d6e,0.0,0
6a11f6da,1.4166666666666667,1
6a1e5592,18.0,1
6a980be1,53.75,1
6aa20dc0,1023.375,1
6ad5bdfd,0.0,0
6b9890af,12.75,1
6bcdb01e,5.666666666666667,1
6c434453,0.6666666666666666,0
6ca952ad,347.125,1
6cbe9eb8,17.375,1
6cdd2623,0.0,0
6cf79266,47.625,1
6d0160f0,0.0,0
6d0aefbc,0.5,0
6d1d5c90,2.5,1
6d58a25d,3.125,1
6d75e8bb,4.875,1
6df30ad6,2.8333333333333335,1
6e02f1e3,1.0,1
6e19193c,0.0,0
6e82a1ae,0.5,0
6ea4a07e,0.0625,0
6ecd11f4,65.0,1
6f473927,7.0,1
6f8cd79b,0.0,0
6fa7a44f,0.2,0
6ffe8f07,167.75,1
7039b2d7,181.75,1
705a3229,0.0,0
712bf12e,0.25,0
72207abc,0.0,0
72322fa7,0.0,0
72a961c9,0.0,0
72ca375d,1.25,1
73182012,1.75,1
73c3b0d8,0.0,0
73ccf9c2,2.75,1
7447852a,0.0,0
7468f01a,12.25,1
746b3537,1.9166666666666667,1
74dd1130,0.0,0
753ea09b,1047.625,1
758abdf0,160.0,1
759f3fd3,0.0,0
75b8110e,0.5833333333333334,0
760b3cac,0.625,0
762cd429,198.0,1
770cc55f,2.2,1
776ffc46,11.2,1
77fdfe62,0.25,0
780d0b14,58.875,1
782b5218,31.75,1
7837ac64,0.0,0
78e78cff,106.83333333333333,1
79369cc6,4.875,1
794b24be,0.0,0
7953d61e,1.0,1
79cce52d,3.5,1
7acdf6d3,431.8333333333333,1
7b6016b9,252.125,1
7b7f7511,0.75,0
7bb29440,32.333333333333336,1
7c008303,0.25,0
7c8af763,11.875,1
7c9b52a0,169.125,1
7d18a6fb,15.5,1
7d1f7ee8,1.75,1
7d419a02,54.125,1
7d7772cc,319.8333333333333,1
7ddcd7ec,1.0,1
7df24a62,4.6,1
7e02026e,12.75,1
7e0986d6,80.33333333333333,1
7e2bad24,0.0,0
7e4d4f7c,82.1,1
7e576d6e,1787.125,1
7ec998c9,40.25,1
7ee1c6ea,0.75,0
7f4411dc,16.25,1
7fe24cdd,0.875,0
80214e03,32.875,1
80af3007,23.25,1
810b9b61,0.0,0
817e6c09,5.666666666666667,1
81c0276b,6.125,1
825aa9e9,33.2,1
82819916,0.0,0
83302e8f,197.75,1
833966f4,0.0,0
833dafe3,1.8333333333333333,1
834ec97d,0.0,0
83b6b474,72.33333333333333,1
83eb0a57,1782.625,1
8403a5d5,0.0,0
84551f4c,0.0,0
845d6e51,0.0,0
846bdb03,1.2,1
84ba50d3,194.75,1
84db8fc4,1.5,1
84f2aca1,0.0,0
855e0971,311.6,1
8597cfd7,0.5,0
85b81ff1,26.0,1
85c4e7cd,1.0,1
85fa5666,2.3,1
8618d23e,1.0,1
868de0fa,33.75,1
8719f442,13.5,1
8731374e,42.5,1
878187ab,453.1666666666667,1
87ab05b8,3.25,1
880c1354,18.375,1
88207623,6.5,1
8886d717,43.5,1
88a10436,0.0,0
88a62173,0.0,0
890034e9,39.0,1
891232d6,0.0,0
896d5239,10.375,1
8a004b2b,26.75,1
8a371977,160.75,1
8a6d367c,606.125,1
8abad3cf,6.166666666666667,1
8b28cd80,0.0,0
8ba14f53,0.14285714285714285,0
8be77c9e,0.5,0
8cb8642d,146.5,1
8d5021e8,2.625,1
8d510a79,0.0,0
8dab14c2,363.6875,1
8dae5dfc,31.2,1
8e1813be,20.625,1
8e2edd66,0.0,0
8e301a54,122.875,1
8e5a5113,1.0,1
8eb1be9a,3.3333333333333335,1
8ee62060,0.0,0
8efcae92,65.25,1
8f2ea7aa,0.0,0
8fbca751,3.75,1
8fff9e47,2.5,1
902510d5,2.4,1
90347967,0.0,0
90c28cc7,221.625,1
90f3ed37,0.0,0
9110e3c5,0.0,0
913fb3ed,0.0,0
91413438,0.4,0
91714a58,6.0,1
9172f3a0,13.666666666666666,1
917bccba,0.0,0
928ad970,0.0,0
92e50de0,1.25,1
9344f635,24.875,1
9356391f,2.0,1
93b4f4b3,14.0,1
93b581b8,1.375,1
93c31fbe,0.125,0
94133066,74.0,1
941d9a10,1.75,1
94414823,2.0,1
9473c6fb,39.5,1
94be5b80,4.333333333333333,1
94f9d214,0.8,0
952a094c,0.0,0
9565186b,0.1,0
95755ff2,0.25,0
95990924,3.25,1
95a58926,0.0,0
963c33f8,258.375,1
963e52fc,1.125,1
963f59bc,0.0,0
96a8c0cd,0.0,0
9720b24f,0.9,0
97239e3d,0.0,0
973e499e,6.7,1
9772c176,448.1666666666667,1
97999447,0.0,0
97a05b5b,74.875,1
97c75046,111.25,1
981add89,1098.6666666666667,1
9841fdad,353.3333333333333,1
984d8a3e,188.66666666666666,1
985ae207,567.375,1
98c475bf,0.0,0
98cf29f8,69.5,1
992798f6,0.0,0
99306f82,1.875,1
995c5fa3,9.1,1
9968a131,7.666666666666667,1
996ec1f3,168.375,1
99b1bc43,1.2,1
99caaf76,176.125,1
99fa7670,0.0,0
9a4bb226,0.625,0
9aec4887,0.375,0
9af7a82c,0.1,0
9b2a60aa,0.75,0
9b30e358,30.666666666666668,1
9b365c51,19.75,1
9b4c17c4,161.0,1
9b5080bb,715.625,1
9ba4a9aa,253.625,1
9bebae7a,2.3333333333333335,1
9c1e755f,3.8,1
9c56f360,2.25,1
9caba7c3,32.5,1
9caf5b84,0.1,0
9d9215db,0.0,0
9ddd00f0,36.5,1
9def23fe,122.75,1
9dfd6313,0.0,0
9edfc990,6.5,1
9f236235,55.5,1
9f27f097,152.0,1
9f41bd9c,626.0,1
9f5f939b,183.5,1
9f669b64,96.25,1
9f8de559,205.4,1
a04b2602,117.625,1
a096bf4d,15.125,1
a09f6c25,633.4,1
a1570a43,1.2,1
a1aa0c1e,0.0,0
a2d730bd,962.5,1
a2fd1cf0,0.0,0
a3325580,0.0,0
a3f84088,0.2,0
a406ac07,3.875,1
a416b8f3,0.0,0
a416fc5b,180.625,1
a48eeaf7,1.0,1
a5313dff,0.5,0
a57f2f04,616.875,1
a59b95c0,0.3333333333333333,0
a5f85a15,0.0,0
a61ba2ce,0.0,0
a61f2674,0.0,0
a644e277,41.833333333333336,1
a64e4611,331.375,1
a65b410d,3.5,1
a680ac02,15.75,1
a68b268e,1.1428571428571428,1
a6953f00,0.0,0
a699fb00,0.0,0
a740d043,12.125,1
a78176bb,1.375,1
a79310a0,0.25,0
a834deea,121.25,1
a85d4709,0.5,0
a8610ef7,1.5,1
a87f7484,0.0,0
a8c38be5,27.5,1
a8d7556c,51.75,1
a934301b,10.0,1
a9f96cdd,0.0,0
aa18de87,1.3,1
aa300dc3,13.2,1
aa62e3f4,300.5,1
aab50785,2.1666666666666665,1
aabf363d,3.0,1
aaecdb9a,18.75,1
aaef0977,54.833333333333336,1
aba27056,11.75,1
abbfd121,125.25,1
ac0a08a4,27.875,1
ac0c2ac3,70.125,1
ac0c5833,1.0,1
ac2e8ecf,0.0,0
ac3e2b04,0.0,0
ac605cbb,0.0,0
ac6f9922,44.625,1
ad173014,0.75,0
ad38a9d0,20.0,1
ad3b40cf,207.375,1
ad7e01d0,3.6,1
ae3edfdc,0.0,0
ae4f1146,2.0,1
ae58858e,1.8,1
aedd82e4,0.2,0
aee291af,45.25,1
af24b4cc,1.125,1
af726779,436.75,1
af902bf9,2.875,1
afe3afe9,1.25,1
b0722778,0.0,0
b0c4d837,2.9285714285714284,1
b0f4d537,23.3,1
b15fca0b,0.6666666666666666,0
b190f7f5,2.0,1
b1948b0a,0.25,0
b1986d4b,281.25,1
b1fc8b8e,2.7857142857142856,1
b20f7c8b,99.5,1
b230c067,1.75,1
b25e450b,51.75,1
b27ca6d3,0.0,0
b2862040,82.4,1
b2bc3ffd,56.75,1
b457fec5,92.5,1
b4a43f3b,3.3,1
b527c5c6,159.0,1
b548a754,7.5,1
b5bb5719,13.5625,1
b60334d2,0.0,0
b6afb2da,26.166666666666668,1
b71a7747,238.5,1
b7249182,0.0,0
b7256dcd,7.0,1
b745798f,237.375,1
b74ca5d1,2098.8,1
b775ac94,1.125,1
b782dc8a,0.0,0
b7955b3c,207.9,1
b7999b51,19.25,1
b7cb93ac,0.0,0
b7f8a4d8,31.5,1
b7fb29bc,0.0,0
b8825c91,19.4,1
b8cdaf2b,0.0,0
b91ae062,18.166666666666668,1
b942fd60,0.6428571428571429,0
b94a9452,7.5,1
b9630600,2.25,1
b9b7f026,45.875,1
ba1aa698,158.875,1
ba26e723,0.0,0
ba97ae07,11.4,1
ba9d41b8,145.875,1
bae5c565,154.0,1
baf41dbf,0.0,0
bb43febb,34.333333333333336,1
bb52a14b,0.0,0
bbb1b8b6,1.2222222222222223,1
bbc9ae5d,5.833333333333333,1
bc1d5164,0.08333333333333333,0
bc4146bd,3.8,1
bc93ec48,57.0,1
bcb3040b,7.0,1
bd14c3bf,0.0,0
bd283c4a,51.666666666666664,1
bd4472b8,0.0,0
bd5af378,52.7,1
bda2d7a6,0.8,0
bdad9b1f,0.0,0
be03b35f,0.5,0
be94b721,1.6,1
beb8660c,0.0,0
bf32578f,2.75,1
bf699163,122.0,1
bf89d739,0.0,0
c074846d,0.0,0
c0f76784,3.0,1
c1990cce,0.0,0
c1d99e64,44.25,1
c3202e5a,0.75,0
c35c1b4c,30.875,1
c3e719e8,0.0,0
c3fa4749,51.7,1
c444b776,0.0,0
c48954c1,3.875,1
c4d1a9ae,2.5,1
c59eb873,6.125,1
c6141b15,284.0,1
c61be7dc,208.0,1
c62e2108,12.75,1
c64f1187,4.333333333333333,1
c658a4bd,0.6666666666666666,0
c6e1b8da,167.25,1
c7d4e6ad,1.0,1
c803e39c,95.875,1
c87289bb,2.0,1
c8b7cc0f,0.125,0
c8cbb738,113.5,1
c8f0f002,0.0,0
c909285e,0.0,0
c920a713,0.0,0
c92b942c,0.0,0
c9680e90,37.75,1
c97c0139,20.666666666666668,1
c9e6f938,0.125,0
c9f8e694,45.166666666666664,1
ca8de6ea,0.0,0
caa06a1f,64.125,1
cad67732,0.0,0
cb227835,0.0,0
cbded52d,4.0,1
cc9053aa,0.0,0
ccd554ac,9.142857142857142,1
cce03e0d,0.0,0
cd3c21df,0.5,0
cdecee7f,0.0,0
ce039d91,2.6,1
ce22a75a,12.5,1
ce4f8723,1.6,1
ce602527,235.3,1
ce8d95cc,0.0,0
ce9e57f2,0.0,0
cf133acc,0.0,0
cf5fd0ad,14.5,1
cf98881b,1.4166666666666667,1
cfb2ce5a,3.125,1
d017b73f,0.0,0
d037b0a7,0.0,0
d06dbe63,0.0,0
d07ae81c,208.0,1
d0f5fe59,1.375,1
d10ecb37,1.25,1
d13f3404,0.0,0
d19f7514,4.1,1
d22278a0,0.0,0
d23f8c26,0.0,0
d255d7a7,456.25,1
d282b262,0.0,0
d2abd087,4.0,1
d2acf2cb,2.25,1
d304284e,0.0,0
d364b489,0.0,0
d37a1ef5,24.75,1
d406998b,0.0,0
d43fd935,1.0,1
d4469b4b,0.16666666666666666,0
d47aa2ff,0.0,0
d492a647,13.666666666666666,1
d4a91cb9,0.0,0
d4b1c2b1,38.375,1
d4c90558,24.375,1
d4f3cd78,5.0,1
d511f180,0.0,0
d56f2372,1.875,1
d5c634a2,0.0,0
d5d6de2d,4.9,1
d631b094,0.0,0
d6542281,765.4,1
d687bc17,0.25,0
d6ad076f,37.625,1
d6e50e54,208.5,1
d749d46f,158.625,1
d753a70b,353.375,1
d89b689b,0.5,0
d8c310e9,1.625,1
d90796e8,0.0,0
d931c21c,1.4,1
d93c6891,200.25,1
d94c3b52,8.25,1
d968ffd4,64.5,1
d9f24cd1,0.0,0
d9fac9be,0.0,0
da2b0fe3,2.0,1
da6e95e5,780.0,1
dae9d2b5,0.42857142857142855,0
db118e2a,170.0,1
db3e9e38,0.0,0
db615bd4,23.125,1
db7260a4,1.1666666666666667,1
db93a21d,124.0,1
dbc1a6ce,0.3,0
dc1df850,0.125,0
dc2aa30b,13.25,1
dc2e9a9d,0.0,0
dc433765,0.0,0
dc46ea44,124.375,1
dce56571,253.125,1
dd2401ed,0.0,0
ddf7fa4f,21.5,1
de1cd16c,175.1,1
de493100,84.4,1
ded97339,0.0,0
df8cc377,0.0,0
df978a02,296.0,1
df9fd884,70.5,1
e048c9ed,0.0,0
e0fb7511,58.25,1
e133d23d,0.5,0
e179c5f4,2.75,1
e1baa8a4,131.6,1
e1d2900e,3.0,1
e2092e0c,0.0,0
e21a174a,1.4,1
e21d9049,0.0,0
e26a3af2,183.25,1
e345f17b,0.5,0
e3497940,0.125,0
e39e9282,119.0,1
e3f79277,506.8333333333333,1
e3fe1151,1.5,1
e4075551,0.0,0
e40b9e2f,1.5,1
e41c6fd3,16.5,1
e45ef808,165.5,1
e4888269,285.6,1
e48d4e1a,0.0,0
e4941b18,344.25,1
e5062a87,8.5,1
e509e548,0.0,0
e50d258f,1.25,1
e57337a4,381.75,1
e5790162,0.0,0
e5c44e8f,0.0,0
e619ca6e,26.0,1
e633a9e5,2.625,1
e6721834,169.125,1
e681b708,0.0,0
e69241bd,1.0,1
e6de6e8f,0.375,0
e729b7be,328.75,1
e73095fd,2.75,1
e734a0e8,180.16666666666666,1
e74e1818,1.0,1
e760a62e,53.25,1
e7639916,0.0,0
e76a88a6,9.833333333333334,1
e78887d1,0.0,0
e7a25a18,20.666666666666668,1
e7b06bea,0.0,0
e7dd8335,0.25,0
e84fef15,46.375,1
e8593010,24.5,1
e872b94a,0.0,0
e88171ec,45.75,1
e8dc4411,457.5,1
e9614598,0.0,0
e98196ab,0.0,0
e99362f0,2.4285714285714284,1
e9ac8c9e,23.5,1
e9afcf9a,0.0,0
e9b4f6fc,5.2,1
e9bb6954,11.0,1
e9c9d9a1,27.5,1
e9fc42f2,82.5,1
ea32f347,0.0,0
ea786f4a,46.5,1
ea959feb,25.875,1
ea9794b1,3.357142857142857,1
eb281b96,0.0,0
eb5a1d5d,532.625,1
ec883f72,4.8,1
ecaa0ec1,0.0,0
ecb67b6d,27.25,1
ecdecbb3,0.0,0
ed36ccf7,0.4,0
ed74f2f2,0.2857142857142857,0
ed98d772,1.3333333333333333,1
edcc2ff0,71.875,1
ef135b50,22.5,1
ef26cbf6,0.0,0
f0100645,31.666666666666668,1
f0afb749,1.0,1
f0df5ff0,5.875,1
f0f8a26d,47.75,1
f15e1fac,0.0,0
f18ec8cc,56.333333333333336,1
f1bcbc2c,0.0,0
f1cefba8,116.75,1
f21745ec,4.625,1
f25fbde4,7.0,1
f25ffba3,0.0,0
f2829549,0.25,0
f28a3cbb,59.666666666666664,1
f341894c,181.25,1
f35d900a,0.0,0
f3b10344,297.25,1
f3cdc58f,0.0,0
f3e14006,0.0,0
f3e62deb,0.0,0
f45f5ca7,0.0,0
f5aa3634,0.0,0
f5b8619d,2.375,1
f5c89df1,1.0,1
f76d97a5,0.625,0
f823c43c,20.5,1
f83cb3f6,0.0,0
f8a8fe49,0.25,0
f8b3ba0a,0.0,0
f8be4b64,0.0,0
f8c80d96,5.5,1
f8cc533f,354.5,1
f8f52ecc,63.3,1
f8ff0b80,1.875,1
f9012d9b,0.5,0
f9a67cb5,0.0,0
f9d67f8b,122.7,1
fafd9572,0.0,0
fafffa47,0.25,0
fb791726,0.0,0
fbf15a0b,101.0,1
fc10701f,595.0,1
fc4aaf52,557.6666666666666,1
fc754716,0.0,0
fcb5c309,0.125,0
fcc82909,2.125,1
fd02da9e,99.6,1
fd096ab6,1645.3333333333333,1
fd4b2b02,9.875,1
fe45cba4,195.5,1
fe9372f3,0.0,0
fea12743,3.5,1
feca6190,0.0,0
ff2825db,2.6,1
ff28f65a,1.5454545454545454,1
ff72ca3e,37.2,1
ff805c23,67.625,1
