task_id,split,pair_idx,grid_height,grid_width,num_shapes,bg_color,pixel_change_rate,shape_change_rate
817e6c09,train,4,7,17,8,0,0.5555555555555556,0.625
817e6c09,test,0,7,15,6,0,0.5714285714285714,0.6666666666666666
845d6e51,train,1,16,16,11,0,0.6086956521739131,0.7272727272727273
85c4e7cd,train,1,6,6,2,1,1.0,1.0
a5f85a15,train,0,8,8,2,0,0.5,1.0
a5f85a15,train,1,3,3,1,0,0.3333333333333333,1.0
a5f85a15,train,2,6,6,2,0,0.42857142857142855,1.0
a5f85a15,test,0,12,12,3,0,0.4782608695652174,1.0
a8610ef7,train,0,6,6,1,0,1.0,1.0
a8610ef7,train,1,6,6,1,0,1.0,1.0
a8610ef7,test,0,6,6,1,0,1.0,1.0
aedd82e4,train,2,3,3,1,0,0.4,1.0
aedd82e4,train,3,3,3,1,0,0.2,1.0
b230c067,train,0,10,10,3,0,1.0,1.0
b230c067,train,1,10,10,3,0,1.0,1.0
b230c067,train,2,10,10,3,0,1.0,1.0
b230c067,test,0,10,10,3,0,1.0,1.0
b6afb2da,train,0,10,10,2,0,1.0,1.0
b6afb2da,train,1,10,10,2,0,1.0,1.0
b6afb2da,test,0,10,10,2,0,1.0,1.0
ba26e723,train,0,3,13,1,0,0.38461538461538464,1.0
ba26e723,train,1,3,11,1,0,0.36363636363636365,1.0
ba26e723,train,2,3,11,1,0,0.36363636363636365,1.0
ba26e723,train,3,3,14,1,0,0.35714285714285715,1.0
ba26e723,train,4,3,10,1,0,0.4,1.0
ba26e723,test,0,3,17,1,0,0.35294117647058826,1.0
bb43febb,train,0,10,10,2,0,0.3333333333333333,1.0
bb43febb,train,1,10,10,2,0,0.2972972972972973,1.0
bb43febb,test,0,10,10,2,0,0.4,1.0
bd14c3bf,train,0,18,18,8,0,0.56,0.5
bd14c3bf,train,1,15,15,7,0,0.4262295081967213,0.42857142857142855
bd14c3bf,train,2,18,18,9,0,0.5194805194805194,0.4444444444444444
bd14c3bf,test,0,19,19,9,0,0.4485981308411215,0.3333333333333333
ce9e57f2,train,0,8,9,4,0,0.42857142857142855,1.0
ce9e57f2,train,1,7,9,4,0,0.4444444444444444,1.0
ce9e57f2,train,2,9,9,4,0,0.45454545454545453,1.0
d2abd087,train,1,10,10,3,0,1.0,1.0
d2abd087,test,0,10,10,5,0,1.0,1.0
d94c3b52,train,1,17,25,24,0,0.4589041095890411,0.4166666666666667
d94c3b52,train,2,17,25,24,0,0.2014388489208633,0.20833333333333334
e509e548,train,0,10,11,3,0,1.0,1.0
e509e548,train,1,19,21,8,0,1.0,1.0
e509e548,train,2,14,12,5,0,1.0,1.0
e509e548,test,0,14,16,6,0,1.0,1.0
e7dd8335,train,0,8,9,1,0,0.5,1.0
e7dd8335,train,1,7,7,1,0,0.5,1.0
e7dd8335,train,2,9,9,1,0,0.5,1.0
e7dd8335,test,0,9,11,1,0,0.5,1.0
ea32f347,train,0,10,10,3,0,1.0,1.0
ea32f347,train,2,10,10,3,0,1.0,1.0
ea32f347,train,3,10,10,3,0,1.0,1.0
ea32f347,test,0,10,10,3,0,1.0,1.0
fea12743,train,0,16,11,6,0,0.5063291139240507,0.5
fea12743,train,1,16,11,6,0,0.5161290322580645,0.5
fea12743,train,2,16,11,6,0,0.5294117647058824,0.5
fea12743,test,0,16,11,11,0,0.5333333333333333,0.45454545454545453
