task_id,pair_type,pair_idx,grid_type,matrix_cluster,distance_to_centroid
42918530,train,1,input,0,2.5945730219498815
42918530,train,1,output,0,2.596271910512026
045e512c,train,2,output,0,2.6034647941174014
137f0df0,train,1,input,0,2.614657345584083
18286ef8,test,0,input,0,2.630203337052879
18286ef8,test,0,output,0,2.630203337052879
4e45f183,train,0,input,0,2.645684741659931
4e45f183,train,0,output,0,2.645684741659931
137f0df0,train,2,input,0,2.67306727851148
5a719d11,test,0,output,0,2.681659649901216
36fdfd69,train,2,output,0,2.6941754401214513
2a5f8217,test,0,output,0,2.702287771973922
817e6c09,train,4,input,0,2.7188331731368636
18419cfa,test,0,output,0,2.7383983627134145
e509e548,train,1,input,0,2.7432435989658823
32597951,train,0,output,0,2.7483096548225108
4e45f183,train,1,input,0,2.7597871754114482
4e45f183,train,1,output,0,2.7597871754114482
b9630600,test,0,input,0,2.782228837772123
42f83767,test,1,input,0,2.7891605404865474
33b52de3,train,1,input,0,2.7965408103211926
33b52de3,train,1,output,0,2.7965408103211926
14754a24,train,3,output,0,2.8172143995109207
6350f1f4,train,2,output,0,2.822167012166351
6350f1f4,train,3,output,0,2.822167012166351
9ddd00f0,train,1,output,0,2.826771619656634
96a8c0cd,train,0,input,0,2.8356155624009713
96a8c0cd,test,0,input,0,2.8356155624009713
1c0d0a4b,test,0,input,0,2.8356968244935885
9caba7c3,train,1,output,0,2.845824836404376
2a5f8217,test,0,input,0,2.859079498864256
cbded52d,train,2,input,0,2.859925018356062
cbded52d,train,2,output,0,2.86038952418729
cbded52d,train,0,input,0,2.861337112987177
cbded52d,train,1,input,0,2.861337112987177
776ffc46,train,2,input,0,2.866516490855451
776ffc46,train,2,output,0,2.866516490855451
5adee1b2,test,0,input,0,2.867670384624937
d931c21c,test,0,output,0,2.8679506105054124
2faf500b,train,2,output,0,2.878939993077897
36fdfd69,train,2,input,0,2.8817053512525463
1be83260,test,1,input,0,2.885332611233388
e734a0e8,train,0,input,0,2.89023492721273
ac0c5833,test,0,output,0,2.908534347263081
93c31fbe,train,2,output,0,2.923598162122305
cbded52d,test,0,input,0,2.9486584837791066
cbded52d,train,0,output,0,2.9502313193424876
cbded52d,train,1,output,0,2.9502313193424876
cbded52d,test,0,output,0,2.9502313193424876
551d5bf1,test,0,output,0,2.9540516528040275
14754a24,train,3,input,0,2.995071504114806
bd14c3bf,train,1,input,0,2.9969333363248323
bd14c3bf,train,1,output,0,2.9969333363248323
c64f1187,train,1,input,0,3.002989075673313
42918530,train,0,input,0,3.0081480159082554
14754a24,train,2,output,0,3.0108592356519104
42918530,train,0,output,0,3.0120279910249876
5b526a93,test,0,input,0,3.0121694885174923
fea12743,test,0,output,0,3.024583351242268
045e512c,train,1,output,0,3.034379900504025
b0722778,train,0,input,0,3.0491046437063547
32597951,train,0,input,0,3.058310575293178
0607ce86,test,0,output,0,3.0768806926182246
b0722778,train,1,input,0,3.082671618785012
6350f1f4,test,0,output,0,3.1130821643658626
f3b10344,train,0,input,0,3.1135880742413486
96a8c0cd,train,1,input,0,3.126279221029439
b9630600,train,0,input,0,3.138528163254518
5a719d11,train,1,input,0,3.1586238080507782
9ddd00f0,test,0,output,0,3.1619728673881746
817e6c09,train,2,output,0,3.170067575208294
14754a24,train,0,input,0,3.1762664835413905
5a719d11,train,1,output,0,3.183802582086587
d5c634a2,train,6,input,0,3.2021011782132436
42f83767,train,1,input,0,3.2086463291422276
456873bc,train,1,input,0,3.2102928224333827
b9630600,train,2,input,0,3.2133167803245253
7bb29440,test,0,input,0,3.2174091433997245
fafd9572,test,0,output,0,3.21885066514417
6350f1f4,train,2,input,0,3.221855429504458
e78887d1,train,2,input,0,3.2246611623035433
c64f1187,train,1,output,0,3.227161386134254
14754a24,train,0,output,0,3.234422880430483
bcb3040b,train,1,input,0,3.2469979236594972
97239e3d,train,1,output,0,3.255003397874455
0607ce86,test,0,input,0,3.2572418778917998
1fad071e,test,0,input,0,3.2610306480796267
54db823b,test,0,input,0,3.2614184232828967
97239e3d,train,0,output,0,3.2669106856756276
42f83767,train,0,input,0,3.278167074326959
9caba7c3,train,1,input,0,3.2798331315946534
fea12743,test,0,input,0,3.2883765593465375
817e6c09,test,0,output,0,3.292276870475499
780d0b14,train,0,input,0,3.3024732811787225
9ddd00f0,test,0,input,0,3.3042667048266443
ac2e8ecf,train,2,input,0,3.3068971861252536
54db823b,train,0,input,0,3.3158244277218567
3490cc26,test,0,output,0,3.3175761986624934
1fad071e,train,2,input,0,3.323244570307771
0b148d64,test,0,input,0,3.3266672890760858
dc2e9a9d,train,2,output,0,3.3380879951744067
ac0c5833,train,0,output,0,3.3423227824318746
36fdfd69,train,1,output,0,3.34996600440211
817e6c09,train,2,input,0,3.3573202250233347
d22278a0,train,1,output,0,3.3588903138622235
ac0c5833,train,1,output,0,3.3597665443513236
aab50785,test,0,input,0,3.361334435485226
54db823b,train,3,input,0,3.3631054435260688
e509e548,test,0,output,0,3.364055679274199
1a6449f1,train,2,input,0,3.3669694291193655
5a719d11,train,0,output,0,3.3688854269044644
1a6449f1,test,0,input,0,3.3742502123148737
33b52de3,train,0,output,0,3.3926174202451027
7d1f7ee8,train,1,output,0,3.403568208637794
14754a24,train,1,output,0,3.403934176024973
2a5f8217,train,2,output,0,3.417835504264444
fafd9572,test,0,input,0,3.419084009051465
37d3e8b2,train,0,output,0,3.4253309704822152
a934301b,train,2,input,0,3.427138960991886
551d5bf1,train,1,output,0,3.4356391029411784
33b52de3,train,0,input,0,3.441806655108045
5a719d11,train,0,input,0,3.4478189272987776
d931c21c,train,2,output,0,3.452073301562999
2dd70a9a,train,1,input,0,3.4535639634386204
18419cfa,test,0,input,0,3.4544277430401307
810b9b61,train,1,output,0,3.4649970241773924
2a5f8217,train,2,input,0,3.4666669331226614
3e980e27,test,0,output,0,3.4700956881179423
ac2e8ecf,train,0,input,0,3.480864027907714
1da012fc,test,0,input,0,3.4814077722577865
a934301b,train,0,input,0,3.4833830031094877
2753e76c,train,1,input,0,3.4844499701875606
776ffc46,train,1,input,0,3.493771891930396
776ffc46,train,1,output,0,3.493771891930396
fea12743,train,2,output,0,3.5072183630866864
6ffe8f07,test,0,input,0,3.507780604572682
868de0fa,train,2,output,0,3.511929230511453
817e6c09,test,0,input,0,3.5238835971444136
a096bf4d,train,1,output,0,3.524923445645964
2e65ae53,test,0,input,0,3.526780516532069
b0722778,test,0,input,0,3.5393303121880604
36fdfd69,train,1,input,0,3.5597442683595033
551d5bf1,train,0,output,0,3.5676872702132405
d5c634a2,test,1,input,0,3.5692182085452875
a8c38be5,test,0,input,0,3.5693740532562357
3391f8c0,train,3,output,0,3.576563214758294
bcb3040b,train,1,output,0,3.5772894329972202
fea12743,train,0,output,0,3.5788870156074495
d2abd087,train,2,output,0,3.5820631695473155
fea12743,train,1,output,0,3.585495614864223
0d87d2a6,train,1,input,0,3.5995977269761688
712bf12e,test,0,input,0,3.60262154019726
1fad071e,train,0,input,0,3.60289534069543
2a5f8217,train,0,output,0,3.602915250573029
e509e548,test,0,input,0,3.6030801490814572
7d1f7ee8,train,1,input,0,3.6105210301728587
37d3e8b2,train,0,input,0,3.6141427910082644
0b148d64,train,0,input,0,3.6243742918317943
14754a24,train,2,input,0,3.625019395662157
780d0b14,train,2,input,0,3.6291819301924915
0d87d2a6,train,2,input,0,3.6304594229634186
a8c38be5,train,1,input,0,3.6357006585899176
810b9b61,train,1,input,0,3.637097062152992
f0df5ff0,train,1,input,0,3.639327262601519
14754a24,train,1,input,0,3.6396553876474758
1a6449f1,train,0,input,0,3.6432340812001693
973e499e,train,1,output,0,3.6467827200159384
2a5f8217,train,0,input,0,3.649270940038188
a934301b,test,0,input,0,3.6506566386319155
36fdfd69,test,0,output,0,3.651102042687049
a934301b,train,1,input,0,3.6525443028985514
d931c21c,test,0,input,0,3.654954793241111
b9630600,train,1,input,0,3.659703581886569
bb52a14b,train,1,output,0,3.6643027344635093
63613498,train,0,output,0,3.6676043484955
551d5bf1,test,0,input,0,3.6741891675305056
891232d6,train,1,input,0,3.6794975787320436
b775ac94,test,0,output,0,3.68221810429664
3490cc26,train,3,input,0,3.687066108551959
72322fa7,test,0,output,0,3.697887161153461
776ffc46,train,3,input,0,3.7011639500519324
776ffc46,train,3,output,0,3.7011639500519324
af24b4cc,train,2,input,0,3.708114781003075
af24b4cc,train,1,input,0,3.7115673106079994
1b8318e3,train,2,output,0,3.719324389354671
18286ef8,train,1,input,0,3.7228803916499955
18286ef8,train,1,output,0,3.7228803916499955
fd4b2b02,train,1,output,0,3.727690455345227
7bb29440,train,4,input,0,3.7280105540541504
50846271,test,0,output,0,3.728180290570114
2faf500b,train,0,output,0,3.735270685732861
fea12743,train,2,input,0,3.7370973487213734
1be83260,train,0,input,0,3.739358859324049
b190f7f5,train,2,output,0,3.7438858173285228
39a8645d,test,0,input,0,3.745264778741475
54db823b,test,0,output,0,3.746268362684772
1be83260,test,0,input,0,3.7467715603519407
d2abd087,train,2,input,0,3.7487927673573926
2dd70a9a,train,1,output,0,3.752050653542026
137f0df0,train,0,input,0,3.7549215693728084
896d5239,train,1,output,0,3.761188987927769
42918530,test,0,input,0,3.764906044183392
42918530,train,3,input,0,3.7651501761902915
42918530,train,3,output,0,3.766700306871593
42918530,test,0,output,0,3.7684861209968057
97a05b5b,test,0,input,0,3.7685371176312605
54db823b,train,1,input,0,3.776728956029771
dc2e9a9d,train,0,output,0,3.7770627071653355
1b8318e3,train,2,input,0,3.7820589467136863
5adee1b2,train,1,input,0,3.7877198500371505
bb52a14b,train,0,input,0,3.788002672472183
bb52a14b,train,0,output,0,3.7886049296437796
e734a0e8,train,0,output,0,3.789916695892484
817e6c09,train,1,output,0,3.790615388752059
b9b7f026,train,1,input,0,3.79279109656101
d56f2372,train,1,input,0,3.7971410495886277
9edfc990,train,1,input,0,3.8026094330899913
7d18a6fb,train,2,input,0,3.802941097160957
fea12743,train,0,input,0,3.804437963475217
fea12743,train,1,input,0,3.8106554228450564
af24b4cc,train,0,input,0,3.81611300739557
af24b4cc,test,0,input,0,3.816746011655201
54db823b,train,0,output,0,3.8190736504052425
5b526a93,train,0,input,0,3.8253627885001915
7bb29440,train,2,input,0,3.8261080218708154
f21745ec,test,0,input,0,3.8347831324688433
f5aa3634,test,0,input,0,3.8371135979089597
712bf12e,train,2,input,0,3.8404979700662434
95990924,test,0,input,0,3.8492502063124228
20981f0e,test,0,input,0,3.850741359881759
20981f0e,train,0,input,0,3.851385511506235
20981f0e,test,0,output,0,3.851717532063533
20981f0e,train,1,input,0,3.8521669605117235
20981f0e,train,2,input,0,3.852231680777052
20981f0e,train,0,output,0,3.852362325296434
20981f0e,train,1,output,0,3.852362325296434
20981f0e,train,2,output,0,3.852362325296434
33067df9,test,0,output,0,3.8528612236861015
0b148d64,train,2,input,0,3.8667557178424774
81c0276b,test,0,input,0,3.8701615472836957
0d87d2a6,train,0,output,0,3.8709361106887257
91714a58,train,1,input,0,3.8757964633356927
1da012fc,test,0,output,0,3.8759993799893877
36fdfd69,test,0,input,0,3.8808701293133816
c64f1187,train,0,input,0,3.881585562928441
7d18a6fb,train,0,input,0,3.883823901750791
2dd70a9a,train,2,input,0,3.8882942155579587
1c0d0a4b,train,0,input,0,3.888801768854451
c1d99e64,train,1,input,0,3.890469095479178
ac2e8ecf,test,0,input,0,3.892158488033876
2dd70a9a,train,2,output,0,3.892575707189273
a096bf4d,train,1,input,0,3.8989377832725167
84f2aca1,train,2,output,0,3.8995118300615426
2c0b0aff,train,3,input,0,3.9006848260251017
54db823b,train,3,output,0,3.9011531389747343
84f2aca1,train,2,input,0,3.9026511492851768
63613498,test,0,output,0,3.903739786067763
84f2aca1,test,0,output,0,3.9064703429373027
896d5239,train,1,input,0,3.9089843455953144
0607ce86,train,1,input,0,3.909239931556758
84f2aca1,test,0,input,0,3.9095473012558637
3490cc26,train,2,output,0,3.912418924029533
37d3e8b2,train,1,output,0,3.9160250172016995
63613498,train,0,input,0,3.917391032442105
e509e548,train,2,output,0,3.9249195117170954
f0df5ff0,train,1,output,0,3.931822960543814
c61be7dc,train,2,input,0,3.9400659296507086
a680ac02,train,2,input,0,3.9508066698382227
63613498,train,1,output,0,3.952007709121839
1da012fc,train,0,input,0,3.9528074464786496
a64e4611,train,2,input,0,3.955593822747206
37d3e8b2,test,0,output,0,3.9581465457094582
3391f8c0,train,3,input,0,3.961669494811279
d56f2372,test,0,input,0,3.9628323971420962
b20f7c8b,train,1,output,0,3.96563397613772
84f2aca1,train,3,output,0,3.966254010012224
84f2aca1,train,3,input,0,3.9692846247713662
0607ce86,train,1,output,0,3.96960474800484
b20f7c8b,train,2,input,0,3.971479546274021
31adaf00,test,0,input,0,3.9749796180454173
817e6c09,train,1,input,0,3.9794041410604715
414297c0,test,0,input,0,3.9810797281532757
ac2e8ecf,train,2,output,0,3.9841266174668903
5adee1b2,train,0,output,0,3.98772785129708
456873bc,test,0,input,0,3.9883845573864924
cd3c21df,train,2,input,0,3.9935623805797213
95990924,test,0,output,0,3.9976122566908394
3e980e27,train,2,output,0,4.001125928027641
ad7e01d0,test,0,output,0,4.004384078018684
bb52a14b,train,1,input,0,4.00465046658377
184a9768,train,1,input,0,4.007706163350067
6c434453,train,0,output,0,4.013846039061739
c61be7dc,train,1,input,0,4.01465398068624
42f83767,train,2,input,0,4.032284828986238
50846271,test,0,input,0,4.038613766758833
e2092e0c,train,1,input,0,4.048616712685291
f5aa3634,train,0,input,0,4.050028804834222
0d87d2a6,train,0,input,0,4.050970149489812
d56f2372,train,2,input,0,4.053908302057465
9b2a60aa,test,0,output,0,4.057153826133018
b9b7f026,train,0,input,0,4.06209423008529
1fad071e,train,1,input,0,4.066002395402382
780d0b14,test,0,input,0,4.06668237268752
50cb2852,test,0,output,0,4.067829385371627
7d1f7ee8,train,0,output,0,4.070122919823584
d931c21c,train,2,input,0,4.075963584113676
0bb8deee,test,0,input,0,4.076873142347399
896d5239,test,0,input,0,4.077175199644582
1da012fc,train,0,output,0,4.078385340048625
a8c38be5,train,0,input,0,4.081125519363302
212895b5,test,0,output,0,4.0842570134485
b190f7f5,test,0,output,0,4.086966914447765
f21745ec,train,0,input,0,4.087474232309153
c61be7dc,train,0,input,0,4.089401825155143
63613498,train,1,input,0,4.090693144252396
f3b10344,train,1,input,0,4.092436504069465
f21745ec,train,2,input,0,4.093137240361846
4347f46a,test,0,output,0,4.093326232200533
7d1f7ee8,train,0,input,0,4.094075354808294
cd3c21df,test,0,input,0,4.095208889220477
91714a58,train,0,input,0,4.101863960196764
b20f7c8b,train,0,output,0,4.102832414031652
896d5239,train,0,input,0,4.103630482774395
fd4b2b02,train,0,output,0,4.113948117234729
e76a88a6,test,0,output,0,4.120696969632565
37d3e8b2,test,0,input,0,4.122627794715901
37d3e8b2,train,1,input,0,4.123174490947167
4347f46a,test,0,input,0,4.12622002824588
aab50785,train,3,input,0,4.1265405273318265
e509e548,train,2,input,0,4.131623061328977
780d0b14,train,1,input,0,4.136115054209167
e78887d1,train,1,input,0,4.138758967571085
551d5bf1,train,1,input,0,4.1441581448890314
551d5bf1,train,0,input,0,4.145458523084204
2e65ae53,train,1,output,0,4.15005098463122
6c434453,train,0,input,0,4.151152442183699
d282b262,test,0,input,0,4.157611079902441
3391f8c0,train,1,input,0,4.159422655942561
3391f8c0,train,1,output,0,4.159422655942561
868de0fa,train,2,input,0,4.160913478167304
2faf500b,train,2,input,0,4.16268452547531
9edfc990,train,0,input,0,4.1643531089925245
5a719d11,test,0,input,0,4.1691133809599625
1f85a75f,test,0,input,0,4.170002637447104
1b8318e3,test,0,output,0,4.170129249596828
7d18a6fb,test,0,input,0,4.174944071443746
310f3251,train,2,output,0,4.175630880337486
358ba94e,train,2,input,0,4.175800114379416
39a8645d,train,0,input,0,4.176585768051148
00dbd492,test,0,output,0,4.181284555287457
93b4f4b3,test,0,input,0,4.182689196973922
f21745ec,train,1,input,0,4.186606576711544
358ba94e,train,1,input,0,4.189479015556079
358ba94e,train,0,input,0,4.191643403306569
5a719d11,train,2,output,0,4.194056526564516
b9b7f026,test,0,input,0,4.195071044055358
f21745ec,train,1,output,0,4.200438599061806
e88171ec,train,2,output,0,4.201442901269194
b457fec5,test,0,output,0,4.201475013335078
d5c634a2,test,0,input,0,4.2029508972682335
868de0fa,test,0,output,0,4.206371902303072
b775ac94,train,1,output,0,4.206907201101984
7bb29440,train,3,input,0,4.208557893506468
358ba94e,test,0,input,0,4.211714873371384
456873bc,train,2,input,0,4.216432077006473
e2092e0c,train,1,output,0,4.219574432422689
f5aa3634,train,1,input,0,4.22305694506268
896d5239,train,0,output,0,4.226319850565293
a680ac02,test,0,input,0,4.228053420785953
1b8318e3,test,0,input,0,4.228713870074965
2e65ae53,train,1,input,0,4.229718882957728
63613498,test,0,input,0,4.23238000866684
e41c6fd3,train,2,input,0,4.236709176513559
f0df5ff0,test,0,input,0,4.238196309796498
50846271,train,3,output,0,4.245067675780543
4938f0c2,train,0,output,0,4.245969342465091
6a11f6da,train,1,input,0,4.250997923240944
4938f0c2,test,0,output,0,4.253323485612384
e2092e0c,train,2,input,0,4.256322918025451
ae58858e,train,1,output,0,4.262626652311753
2e65ae53,train,0,input,0,4.264632287967424
1e32b0e9,train,1,input,0,4.269333244366061
5b526a93,train,1,input,0,4.275993640940534
54db823b,train,1,output,0,4.287121919692927
f0df5ff0,train,0,input,0,4.287993443887119
b230c067,test,0,output,0,4.2884434977334625
f5aa3634,train,2,input,0,4.295513074314881
e76a88a6,test,0,input,0,4.295692742731874
4c5c2cf0,train,1,output,0,4.303399028524974
e9bb6954,train,2,input,0,4.309551463346335
9ddd00f0,train,1,input,0,4.31669827739743
e78887d1,train,0,input,0,4.3170960058074
228f6490,train,0,input,0,4.318224244840635
fd4b2b02,train,2,output,0,4.318813448640039
57aa92db,test,0,input,0,4.318854595006461
bcb3040b,train,0,input,0,4.323868956023458
e2092e0c,train,2,output,0,4.325439614857175
321b1fc6,test,0,input,0,4.3320670397405925
6165ea8f,train,0,input,0,4.333642281983217
bb52a14b,train,2,output,0,4.337610921152526
5adee1b2,train,0,input,0,4.3383708359611735
7d18a6fb,train,1,input,0,4.344794685320482
e9bb6954,train,2,output,0,4.347985504325814
e5062a87,train,1,input,0,4.353354330167551
456873bc,train,0,input,0,4.356069818605017
0a2355a6,train,0,output,0,4.356538320137432
ac2e8ecf,test,0,output,0,4.358829836813775
712bf12e,train,0,input,0,4.359629436863611
6cdd2623,train,1,input,0,4.3617118995901345
4e7e0eb9,train,3,input,0,4.3635990793088295
4e7e0eb9,train,3,output,0,4.3635990793088295
63613498,train,2,output,0,4.367375677587633
50cb2852,test,0,input,0,4.368220164551446
3b4c2228,test,0,input,0,4.368561880661078
ac2e8ecf,train,0,output,0,4.369890911347066
36fdfd69,train,0,output,0,4.372829714680934
73ccf9c2,test,0,input,0,4.373144722805626
447fd412,test,0,output,0,4.376423913999262
12eac192,test,0,output,0,4.377324671124482
54db823b,train,2,input,0,4.379734907321639
bcb3040b,test,0,output,0,4.38668161566549
6165ea8f,train,2,input,0,4.387690513590386
93b4f4b3,train,1,input,0,4.389188471205232
93b4f4b3,train,0,input,0,4.398017813610055
1da012fc,train,1,output,0,4.402027975346827
212895b5,test,0,input,0,4.403509399116076
ae58858e,train,1,input,0,4.4036640015971065
d56f2372,train,0,input,0,4.408432133760716
0a2355a6,train,2,output,0,4.4089585865107095
1da012fc,train,1,input,0,4.414149463965252
0a2355a6,test,0,output,0,4.4160401527656346
18419cfa,train,1,input,0,4.416240050590526
b190f7f5,train,0,output,0,4.420445512607286
e41c6fd3,train,0,input,0,4.426185991759159
18419cfa,train,1,output,0,4.426348042676488
b230c067,test,0,input,0,4.428658746755744
37d3e8b2,train,2,output,0,4.430052601522519
91714a58,train,2,input,0,4.430670737509984
ac2e8ecf,train,1,input,0,4.431762859435236
0a2355a6,train,1,output,0,4.432950677678127
456873bc,train,0,output,0,4.434694845060724
a3325580,train,4,input,0,4.436078324062268
505fff84,train,3,input,0,4.438572068155068
0b148d64,train,1,input,0,4.439447444958933
00d62c1b,test,0,output,0,4.439537083699717
e2092e0c,train,0,input,0,4.444168339233396
f0df5ff0,train,2,input,0,4.444334778272743
e2092e0c,test,0,input,0,4.4472280135554625
54dc2872,train,0,output,0,4.455420816564277
5a5a2103,train,0,input,0,4.461075664087231
516b51b7,test,0,output,0,4.461986826328858
8a004b2b,train,1,input,0,4.462322673052482
54dc2872,train,0,input,0,4.464678550944087
f21745ec,train,0,output,0,4.467772460416415
dc2e9a9d,train,1,output,0,4.470958093373369
4347f46a,train,1,output,0,4.47155522664719
e74e1818,test,0,output,0,4.473296539536399
4347f46a,train,1,input,0,4.474244265414323
42a50994,test,0,input,0,4.4765742207661
42a50994,test,0,output,0,4.4765742207661
91714a58,test,0,input,0,4.48117646210015
e2092e0c,test,0,output,0,4.481305506210027
0bb8deee,train,0,input,0,4.483173491887367
f0df5ff0,train,0,output,0,4.483411164030129
aab50785,train,2,input,0,4.4870641178080595
7d1f7ee8,train,2,input,0,4.487578149052536
0d87d2a6,train,1,output,0,4.487684552923938
63613498,train,2,input,0,4.493258926064593
d4c90558,train,2,input,0,4.498483689948625
6350f1f4,train,3,input,0,4.4993325762914145
5833af48,train,2,input,0,4.499829312523286
12eac192,test,0,input,0,4.501826323964199
e41c6fd3,test,0,input,0,4.512478599975338
5a5a2103,train,1,input,0,4.513174589149497
414297c0,train,2,input,0,4.514542287199568
4acc7107,train,1,input,0,4.516607418851937
6855a6e4,train,2,input,0,4.518772083726508
ae58858e,train,3,output,0,4.520209432348175
b9b7f026,train,2,input,0,4.521909151362115
4acc7107,train,3,output,0,4.522531336018453
6e82a1ae,train,0,output,0,4.523722638929694
be94b721,test,0,input,0,4.523927047830401
ff28f65a,train,1,input,0,4.527225661671514
ff28f65a,test,2,input,0,4.527225661671514
6e82a1ae,train,1,output,0,4.528136150936435
88207623,test,0,input,0,4.529081142494924
4acc7107,test,0,input,0,4.529418204487714
0692e18c,train,0,output,0,4.530102834289986
b457fec5,train,2,output,0,4.5315626656524515
9b2a60aa,train,0,output,0,4.532503151411813
4b6b68e5,test,0,input,0,4.532689702317434
e41c6fd3,train,2,output,0,4.538214702863896
73ccf9c2,train,0,input,0,4.5387510110477125
50846271,train,3,input,0,4.539118446512074
e88171ec,train,0,output,0,4.539448102345154
f35d900a,test,0,output,0,4.543071458731636
0a2355a6,train,0,input,0,4.543648542996447
d282b262,train,2,input,0,4.546947026566701
36d67576,test,0,output,0,4.549419984782879
36d67576,test,0,input,0,4.5504475822549955
73ccf9c2,train,2,input,0,4.551879228337558
73ccf9c2,train,1,input,0,4.554918201142218
0a2355a6,train,2,input,0,4.557197787458745
ef135b50,test,0,input,0,4.55832003706349
ba9d41b8,test,0,output,0,4.559107840965966
6c434453,train,1,output,0,4.561906975405951
0a2355a6,test,0,input,0,4.564049351977989
37d3e8b2,train,2,input,0,4.56592123390452
414297c0,train,0,input,0,4.56639176077827
2c0b0aff,train,0,input,0,4.566395061652089
e78887d1,test,0,output,0,4.567546143856125
9b2a60aa,train,1,output,0,4.570545730656665
9b2a60aa,train,2,output,0,4.570545730656665
6a11f6da,train,3,input,0,4.570601850695086
b27ca6d3,test,0,output,0,4.571065638891154
