task_id,average_junctions,is_junction_dominant
2204b7a8,0.25,0
22168020,31.0,1
22208ba4,438.9,1
22233c11,10.75,1
22425bda,91.3,1
22806e14,448.25,1
2281f1f4,1.5,1
228f6490,44.25,1
22a4bbc2,55.6,1
22eb0ac0,0.0,0
230f2e48,218.0,1
234bbc79,2.1,1
23581191,5.0,1
239be575,5.0,1
23b5c85d,101.08333333333333,1
25094a63,462.0,1
252143c9,163.33333333333334,1
253bf280,0.0,0
2546ccf6,69.5,1
256b0a75,211.75,1
25c199f5,61.0,1
25d487eb,15.5,1
25d8a9c8,1.5,1
25e02866,226.0,1
25ff71a9,0.3333333333333333,0
2601afb7,102.5,1
264363fd,1680.25,1
2685904e,1.0,1
2697da3f,20.9,1
272f95fa,121.66666666666667,1
2753e76c,62.5,1
278e5215,37.375,1
27a28665,1.8,1
27a77e38,0.0,0
27f8ce4f,1.9,1
281123b4,15.285714285714286,1
28bf18c6,5.75,1
28e73c20,7.666666666666667,1
292dd178,140.375,1
29623171,31.125,1
29700607,1.25,1
29c11459,0.0,0
2a28add5,110.0,1
2a5f8217,20.25,1
2b01abd0,7.0,1
2b9ef948,514.6,1
2bcee788,92.9,1
2bee17df,100.625,1
2c0b0aff,192.7,1
2c608aff,388.0,1
2c737e39,2.25,1
2ccd9fef,183.0,1
2dc579da,80.625,1
2dd70a9a,31.75,1
2de01db2,0.75,0
2dee498d,9.5,1
2e65ae53,177.33333333333334,1
2f0c5170,317.25,1
2f767503,173.75,1
2faf500b,98.625,1
305b1341,65.0,1
30f42897,93.0,1
310f3251,0.0,0
3194b014,100.375,1
319f2597,29.75,1
31aa019c,4.0,1
31adaf00,37.5,1
31d5ba1a,6.571428571428571,1
320afe60,915.2,1
321b1fc6,12.333333333333334,1
32597951,40.375,1
32e9702f,41.375,1
33067df9,351.6,1
332202d5,369.375,1
332efdb3,27.75,1
3345333e,49.833333333333336,1
337b420f,54.333333333333336,1
3391f8c0,9.2,1
33b52de3,96.66666666666667,1
3428a4f5,17.583333333333332,1
342ae2ed,432.375,1
342dd610,250.0,1
3490cc26,75.4,1
34b99a2b,8.5,1
34cfa167,528.0,1
351d6448,34.0,1
358ba94e,92.9,1
3618c87e,5.125,1
363442ee,5.125,1
36d67576,10.5,1
36fdfd69,107.375,1
37ce87bb,93.25,1
37d3e8b2,137.25,1
3906de3d,39.5,1
396d80d7,450.5,1
3979b1a8,29.5,1
39a8645d,10.125,1
39e1d7f9,379.0,1
3a301edc,113.0,1
3aa6fb7a,3.0,1
3ac3eb23,5.0,1
3ad05f52,248.125,1
3af2c5a8,11.0,1
3b4c2228,6.857142857142857,1
3bd292e8,57.5,1
3bd67248,0.0,0
3bdb4ada,152.16666666666666,1
3befdf3e,28.0,1
3c9b0459,2.2,1
3cd86f4f,14.666666666666666,1
3d31c5b3,17.714285714285715,1
3d588dc9,420.0,1
3d6c6e23,3.375,1
3de23699,5.0,1
3e980e27,4.7,1
3eda0437,42.8,1
3ee1011a,7.0,1
3f23242b,2.0,1
3f7978a0,0.25,0
4093f84a,93.125,1
40f6cd08,619.25,1
412b6263,106.125,1
414297c0,171.5,1
41ace6b5,114.25,1
41e4d17e,320.5,1
423a55dc,8.333333333333334,1
4258a5f9,14.666666666666666,1
4290ef0e,282.375,1
42918530,98.9,1
42a15761,105.25,1
42a50994,4.4,1
42f14c03,228.625,1
42f83767,135.6,1
4347f46a,80.25,1
4364c1c4,303.5,1
444801d8,15.75,1
445eab21,6.5,1
447fd412,37.75,1
44d8ac46,35.2,1
44f52bb0,0.4375,0
4522001f,28.5,1
456873bc,77.75,1
45737921,10.0,1
458e3a53,216.0,1
45bbe264,6.25,1
4612dd53,3.75,1
46442a0e,13.375,1
465b7d93,134.5,1
469497ad,167.0,1
46c35fc7,55.0,1
46f33fce,80.0,1
470c91de,174.5,1
47c1f68c,6.875,1
48131b3c,15.0,1
484b58aa,183.25,1
4852f2fa,9.214285714285714,1
48634b99,352.0,1
48d8fb45,6.875,1
48f8583b,4.142857142857143,1
4938f0c2,11.875,1
494ef9d7,0.0,0
496994bd,19.0,1
49d1d64f,3.125,1
4a1cacc2,103.2,1
4acc7107,21.2,1
4b6b68e5,97.0,1
4be741c5,128.0,1
4c177718,13.833333333333334,1
4c4377d9,12.4,1
4c5c2cf0,15.5,1
4cd1b7b2,0.0,0
4df5b0ae,157.875,1
4e45f183,335.5,1
4e469f39,7.75,1
4e7e0eb9,220.5,1
4f537728,169.33333333333334,1
4ff4c9da,344.75,1
5034a0b5,81.8,1
505fff84,16.583333333333332,1
506d28a5,18.3,1
50846271,150.4,1
508bd3b6,52.625,1
50a16a69,89.0,1
50aad11f,13.75,1
50c07299,500.75,1
50cb2852,87.75,1
50f325b5,39.0,1
5117e062,9.75,1
5168d44c,8.0,1
516b51b7,102.75,1
5207a7b5,22.125,1
522fdd07,454.2,1
52364a65,126.66666666666667,1
5289ad53,103.3,1
52df9849,463.125,1
52fd389e,315.75,1
538b439f,631.3333333333334,1
539a4f51,55.875,1
53b68214,6.1,1
543a7ed5,302.6666666666667,1
54d82841,10.0,1
54d9e175,33.4,1
54db823b,97.6,1
54dc2872,3.0,1
55059096,18.75,1
551d5bf1,133.0,1
5521c0d9,53.5,1
5582e5ca,7.125,1
5587a8d0,40.75,1
5614dbcf,17.166666666666668,1
5623160b,236.25,1
56dc2b01,5.0,1
56ff96f3,23.2,1
5751f35e,96.33333333333333,1
575b1a71,165.25,1
5783df64,0.0,0
5792cb4d,144.33333333333334,1
57aa92db,70.8,1
57edb29d,411.75,1
5833af48,290.625,1
58743b76,72.0,1
58c02a16,138.75,1
58e15b12,0.0,0
59341089,8.1,1
5a5a2103,115.0,1
5a719d11,454.875,1
5ad4f10b,79.125,1
5ad8a7c0,1.3333333333333333,1
5adee1b2,104.5,1
5af49b42,0.0,0
5b37cb25,1514.6666666666667,1
5b526a93,80.0,1
5b692c0f,106.66666666666667,1
5b6cbef5,24.0,1
5bd6f4ac,0.4,0
5c0a986e,8.0,1
5c2c9af4,5.125,1
5d2a5c43,20.785714285714285,1
5d588b4d,21.5,1
5daaa586,15.75,1
5e6bbc0b,15.1,1
5ecac7f7,40.083333333333336,1
5ffb2104,3.75,1
60a26a3e,17.0,1
60b61512,7.666666666666667,1
60c09cac,16.0,1
60d73be6,150.0,1
6150a2bd,0.3333333333333333,0
6165ea8f,76.5,1
623ea044,0.5,0
626c0bcc,15.5,1
62ab2642,30.125,1
62b74c02,11.75,1
62c24649,4.75,1
6350f1f4,91.7,1
63613498,10.75,1
639f5a19,393.3333333333333,1
642248e4,2.625,1
642d658d,273.5,1
6430c8c4,5.8,1
6455b5f5,85.6,1
64a7c07e,9.75,1
652646ff,215.7,1
662c240a,9.8,1
668eec9a,218.0,1
66ac4c3b,804.5,1
66e6c45b,0.0,0
66f2d22f,10.8,1
67385a82,3.9,1
673ef223,17.5,1
67636eac,10.25,1
6773b310,10.1,1
67a3c6ac,8.0,1
67a423a3,4.0,1
67c52801,21.6,1
67e8384a,11.4,1
681b3aeb,5.75,1
6855a6e4,9.25,1
689c358e,106.0,1
68b16354,6.0,1
68b67ca3,0.125,0
68bc2e87,140.5,1
692cd3b6,76.5,1
694f12f3,56.0,1
695367ec,36.125,1
696d4842,3.0,1
69889d6e,6.4,1
6a11f6da,16.666666666666668,1
6a1e5592,85.5,1
6a980be1,114.25,1
6aa20dc0,824.5,1
6ad5bdfd,0.125,0
6b9890af,33.25,1
6bcdb01e,31.0,1
6c434453,22.833333333333332,1
6ca952ad,304.0,1
6cbe9eb8,87.75,1
6cdd2623,2.125,1
6cf79266,286.5,1
6d0160f0,20.0,1
6d0aefbc,7.3,1
6d1d5c90,18.5,1
6d58a25d,17.75,1
6d75e8bb,24.75,1
6df30ad6,11.666666666666666,1
6e02f1e3,4.083333333333333,1
6e19193c,2.3333333333333335,1
6e82a1ae,5.25,1
6ea4a07e,2.0625,1
6ecd11f4,100.875,1
6f473927,23.0,1
6f8cd79b,2.8,1
6fa7a44f,1.4,1
6ffe8f07,316.75,1
7039b2d7,264.5,1
705a3229,1.2,1
712bf12e,14.875,1
72207abc,0.0,0
72322fa7,6.0,1
72a961c9,3.6,1
72ca375d,9.5,1
73182012,10.75,1
73c3b0d8,0.5,0
73ccf9c2,35.25,1
7447852a,17.625,1
7468f01a,40.5,1
746b3537,6.333333333333333,1
74dd1130,1.1,1
753ea09b,1529.625,1
758abdf0,197.16666666666666,1
759f3fd3,9.333333333333334,1
75b8110e,9.25,1
760b3cac,9.125,1
762cd429,207.125,1
770cc55f,5.0,1
776ffc46,56.4,1
77fdfe62,16.5,1
780d0b14,226.5,1
782b5218,71.0,1
7837ac64,122.7,1
78e78cff,220.33333333333334,1
79369cc6,74.375,1
794b24be,0.5416666666666666,0
7953d61e,13.166666666666666,1
79cce52d,23.125,1
7acdf6d3,404.0,1
7b6016b9,442.5,1
7b7f7511,6.75,1
7bb29440,126.0,1
7c008303,10.75,1
7c8af763,62.125,1
7c9b52a0,192.875,1
7d18a6fb,53.875,1
7d1f7ee8,29.0,1
7d419a02,258.75,1
7d7772cc,290.8333333333333,1
7ddcd7ec,4.0,1
7df24a62,34.9,1
7e02026e,86.625,1
7e0986d6,155.0,1
7e2bad24,0.3,0
7e4d4f7c,71.9,1
7e576d6e,1512.625,1
7ec998c9,69.25,1
7ee1c6ea,20.25,1
7f4411dc,48.375,1
7fe24cdd,5.75,1
80214e03,104.875,1
80af3007,58.625,1
810b9b61,13.5,1
817e6c09,22.666666666666668,1
81c0276b,47.0,1
825aa9e9,106.1,1
82819916,0.0,0
83302e8f,474.125,1
833966f4,0.0,0
833dafe3,6.166666666666667,1
834ec97d,0.0,0
83b6b474,100.83333333333333,1
83eb0a57,953.875,1
8403a5d5,0.0,0
84551f4c,0.0,0
845d6e51,18.75,1
846bdb03,11.6,1
84ba50d3,243.375,1
84db8fc4,29.1,1
84f2aca1,23.2,1
855e0971,428.6,1
8597cfd7,2.0,1
85b81ff1,80.8,1
85c4e7cd,20.0,1
85fa5666,10.1,1
8618d23e,9.75,1
868de0fa,60.5,1
8719f442,38.625,1
8731374e,95.625,1
878187ab,454.8333333333333,1
87ab05b8,17.25,1
880c1354,68.25,1
88207623,33.5,1
8886d717,154.75,1
88a10436,0.75,0
88a62173,1.625,1
890034e9,255.125,1
891232d6,6.0,1
896d5239,96.125,1
8a004b2b,59.375,1
8a371977,617.5,1
8a6d367c,555.375,1
8abad3cf,27.0,1
8b28cd80,2.9285714285714284,1
8ba14f53,8.071428571428571,1
8be77c9e,3.375,1
8cb8642d,136.875,1
8d5021e8,10.125,1
8d510a79,0.0,0
8dab14c2,465.375,1
8dae5dfc,140.4,1
8e1813be,25.5,1
8e2edd66,3.625,1
8e301a54,174.75,1
8e5a5113,8.125,1
8eb1be9a,57.666666666666664,1
8ee62060,1.5,1
8efcae92,214.625,1
8f2ea7aa,8.125,1
8fbca751,23.625,1
8fff9e47,17.666666666666668,1
902510d5,10.0,1
90347967,0.75,0
90c28cc7,259.25,1
90f3ed37,7.75,1
9110e3c5,3.7777777777777777,1
913fb3ed,8.0,1
91413438,7.8,1
91714a58,23.75,1
9172f3a0,35.333333333333336,1
917bccba,6.5,1
928ad970,8.0,1
92e50de0,201.625,1
9344f635,72.25,1
9356391f,14.333333333333334,1
93b4f4b3,60.0,1
93b581b8,5.5,1
93c31fbe,18.5,1
94133066,159.0,1
941d9a10,45.0,1
94414823,12.0,1
9473c6fb,118.0,1
94be5b80,33.0,1
94f9d214,6.3,1
952a094c,4.0,1
9565186b,2.0,1
95755ff2,6.125,1
95990924,13.0,1
95a58926,48.25,1
963c33f8,420.5,1
963e52fc,9.625,1
963f59bc,6.5,1
96a8c0cd,6.3,1
9720b24f,6.8,1
97239e3d,131.5,1
973e499e,55.3,1
9772c176,346.0,1
97999447,1.875,1
97a05b5b,150.125,1
97c75046,137.75,1
981add89,1188.3333333333333,1
9841fdad,344.0,1
984d8a3e,257.6666666666667,1
985ae207,764.0,1
98c475bf,8.8,1
98cf29f8,97.125,1
992798f6,0.0,0
99306f82,14.5,1
995c5fa3,25.2,1
9968a131,16.333333333333332,1
996ec1f3,193.75,1
99b1bc43,10.4,1
99caaf76,199.625,1
99fa7670,1.1,1
9a4bb226,8.75,1
9aec4887,9.375,1
9af7a82c,1.5,1
9b2a60aa,13.5,1
9b30e358,58.166666666666664,1
9b365c51,51.75,1
9b4c17c4,254.91666666666666,1
9b5080bb,959.75,1
9ba4a9aa,397.125,1
9bebae7a,20.333333333333332,1
9c1e755f,13.1,1
9c56f360,17.0,1
9caba7c3,231.75,1
9caf5b84,4.3,1
9d9215db,0.0,0
9ddd00f0,116.83333333333333,1
9def23fe,156.625,1
9dfd6313,0.0,0
9edfc990,59.625,1
9f236235,116.875,1
9f27f097,205.25,1
9f41bd9c,554.6666666666666,1
9f5f939b,376.0,1
9f669b64,166.875,1
9f8de559,313.7,1
a04b2602,250.25,1
a096bf4d,159.875,1
a09f6c25,897.2,1
a1570a43,10.4,1
a1aa0c1e,18.25,1
a2d730bd,877.25,1
a2fd1cf0,0.5,0
a3325580,2.357142857142857,1
a3f84088,12.4,1
a406ac07,13.75,1
a416b8f3,0.375,0
a416fc5b,166.5,1
a48eeaf7,4.0,1
a5313dff,16.5,1
a57f2f04,665.875,1
a59b95c0,8.833333333333334,1
a5f85a15,0.0,0
a61ba2ce,4.0,1
a61f2674,0.0,0
a644e277,193.5,1
a64e4611,433.625,1
a65b410d,15.5,1
a680ac02,41.5,1
a68b268e,14.428571428571429,1
a6953f00,0.625,0
a699fb00,0.0,0
a740d043,32.625,1
a78176bb,5.125,1
a79310a0,1.25,1
a834deea,180.75,1
a85d4709,1.4,1
a8610ef7,15.7,1
a87f7484,6.0,1
a8c38be5,84.0,1
a8d7556c,272.25,1
a934301b,52.75,1
a9f96cdd,0.0,0
aa18de87,12.1,1
aa300dc3,64.8,1
aa62e3f4,181.66666666666666,1
aab50785,10.0,1
aabf363d,18.0,1
aaecdb9a,68.25,1
aaef0977,66.0,1
aba27056,27.0,1
abbfd121,173.625,1
ac0a08a4,49.0,1
ac0c2ac3,104.375,1
ac0c5833,17.875,1
ac2e8ecf,32.0,1
ac3e2b04,27.5,1
ac605cbb,0.7142857142857143,0
ac6f9922,141.5,1
ad173014,39.5,1
ad38a9d0,97.33333333333333,1
ad3b40cf,319.625,1
ad7e01d0,19.5,1
ae3edfdc,1.5,1
ae4f1146,14.7,1
ae58858e,9.8,1
aedd82e4,2.4,1
aee291af,190.75,1
af24b4cc,6.5,1
af726779,416.8333333333333,1
af902bf9,7.75,1
afe3afe9,121.375,1
b0722778,3.0,1
b0c4d837,8.357142857142858,1
b0f4d537,29.4,1
b15fca0b,6.25,1
b190f7f5,25.625,1
b1948b0a,11.25,1
b1986d4b,656.25,1
b1fc8b8e,15.928571428571429,1
b20f7c8b,268.75,1
b230c067,15.25,1
b25e450b,125.625,1
b27ca6d3,7.166666666666667,1
b2862040,229.6,1
b2bc3ffd,93.0,1
b457fec5,145.875,1
b4a43f3b,15.7,1
b527c5c6,238.7,1
b548a754,25.0,1
b5bb5719,32.3125,1
b60334d2,7.333333333333333,1
b6afb2da,50.333333333333336,1
b71a7747,493.5,1
b7249182,4.0,1
b7256dcd,32.166666666666664,1
b745798f,174.75,1
b74ca5d1,1335.8,1
b775ac94,24.125,1
b782dc8a,47.333333333333336,1
b7955b3c,401.8,1
b7999b51,45.375,1
b7cb93ac,3.5,1
b7f8a4d8,231.25,1
b7fb29bc,10.625,1
b8825c91,137.3,1
b8cdaf2b,1.2,1
b91ae062,40.0,1
b942fd60,6.5,1
b94a9452,31.0,1
b9630600,53.125,1
b9b7f026,84.125,1
ba1aa698,220.5,1
ba26e723,31.333333333333332,1
ba97ae07,31.0,1
ba9d41b8,190.25,1
bae5c565,182.33333333333334,1
baf41dbf,10.875,1
bb43febb,62.333333333333336,1
bb52a14b,8.375,1
bbb1b8b6,8.055555555555555,1
bbc9ae5d,14.0,1
bc1d5164,1.9166666666666667,1
bc4146bd,27.8,1
bc93ec48,158.25,1
bcb3040b,77.25,1
bd14c3bf,42.75,1
bd283c4a,91.83333333333333,1
bd4472b8,0.0,0
bd5af378,68.2,1
bda2d7a6,10.4,1
bdad9b1f,0.0,0
be03b35f,3.5,1
be94b721,10.4,1
beb8660c,0.0,0
bf32578f,11.75,1
bf699163,193.33333333333334,1
bf89d739,3.8,1
c074846d,0.0,0
c0f76784,23.0,1
c1990cce,1.5,1
c1d99e64,269.875,1
c3202e5a,42.625,1
c35c1b4c,75.25,1
c3e719e8,2.125,1
c3fa4749,230.7,1
c444b776,5.0,1
c48954c1,16.25,1
c4d1a9ae,20.666666666666668,1
c59eb873,21.75,1
c6141b15,382.875,1
c61be7dc,262.0,1
c62e2108,58.125,1
c64f1187,26.5,1
c658a4bd,18.166666666666668,1
c6e1b8da,247.125,1
c7d4e6ad,10.666666666666666,1
c803e39c,212.5,1
c87289bb,7.3,1
c8b7cc0f,3.0,1
c8cbb738,170.0,1
c8f0f002,5.0,1
c909285e,103.25,1
c920a713,20.5,1
c92b942c,0.0,0
c9680e90,115.375,1
c97c0139,58.333333333333336,1
c9e6f938,1.25,1
c9f8e694,96.66666666666667,1
ca8de6ea,0.0,0
caa06a1f,101.5,1
cad67732,3.875,1
cb227835,3.75,1
cbded52d,20.5,1
cc9053aa,17.375,1
ccd554ac,65.0,1
cce03e0d,1.125,1
cd3c21df,5.25,1
cdecee7f,0.0,0
ce039d91,12.7,1
ce22a75a,25.5,1
ce4f8723,12.4,1
ce602527,279.9,1
ce8d95cc,0.0,0
ce9e57f2,0.0,0
cf133acc,9.0,1
cf5fd0ad,83.875,1
cf98881b,13.25,1
cfb2ce5a,25.25,1
d017b73f,3.4,1
d037b0a7,0.0,0
d06dbe63,4.166666666666667,1
d07ae81c,384.625,1
d0f5fe59,8.625,1
d10ecb37,7.0,1
d13f3404,0.0,0
d19f7514,19.2,1
d22278a0,2.4,1
d23f8c26,0.0,0
d255d7a7,329.25,1
d282b262,15.5,1
d2abd087,22.5,1
d2acf2cb,22.625,1
d304284e,31.833333333333332,1
d364b489,0.0,0
d37a1ef5,60.0,1
d406998b,2.5,1
d43fd935,4.0,1
d4469b4b,3.8333333333333335,1
d47aa2ff,0.0,0
d492a647,90.33333333333333,1
d4a91cb9,0.5,0
d4b1c2b1,68.8125,1
d4c90558,79.25,1
d4f3cd78,16.0,1
d511f180,2.25,1
d56f2372,36.125,1
d5c634a2,6.833333333333333,1
d5d6de2d,17.6,1
d631b094,0.6,0
d6542281,663.6,1
d687bc17,6.625,1
d6ad076f,80.0,1
d6e50e54,257.75,1
d749d46f,187.5,1
d753a70b,450.0,1
d89b689b,2.0,1
d8c310e9,7.375,1
d90796e8,0.0,0
d931c21c,34.3,1
d93c6891,247.0,1
d94c3b52,105.0,1
d968ffd4,104.2,1
d9f24cd1,1.3333333333333333,1
d9fac9be,4.3,1
da2b0fe3,11.2,1
da6e95e5,763.4,1
dae9d2b5,3.2857142857142856,1
db118e2a,214.7,1
db3e9e38,0.0,0
db615bd4,493.0,1
db7260a4,6.833333333333333,1
db93a21d,237.2,1
dbc1a6ce,2.6,1
dc1df850,7.0,1
dc2aa30b,65.25,1
dc2e9a9d,34.375,1
dc433765,0.0,0
dc46ea44,202.625,1
dce56571,280.625,1
dd2401ed,0.0,0
ddf7fa4f,53.0,1
de1cd16c,241.1,1
de493100,285.3,1
ded97339,0.625,0
df8cc377,18.375,1
df978a02,448.125,1
df9fd884,113.625,1
e048c9ed,0.0,0
e0fb7511,218.625,1
e133d23d,3.9166666666666665,1
e179c5f4,12.25,1
e1baa8a4,180.4,1
e1d2900e,12.0,1
e2092e0c,4.0,1
e21a174a,19.2,1
e21d9049,0.0,0
e26a3af2,357.625,1
e345f17b,5.25,1
e3497940,1.875,1
e39e9282,239.625,1
e3f79277,270.5,1
e3fe1151,10.875,1
e4075551,2.0,1
e40b9e2f,8.0,1
e41c6fd3,74.5,1
e45ef808,239.16666666666666,1
e4888269,301.2,1
e48d4e1a,4.6,1
e4941b18,281.375,1
e5062a87,63.5,1
e509e548,12.0,1
e50d258f,21.375,1
e57337a4,224.125,1
e5790162,1.3333333333333333,1
e5c44e8f,4.375,1
e619ca6e,96.0,1
e633a9e5,9.75,1
e6721834,267.0,1
e681b708,9.75,1
e69241bd,21.625,1
e6de6e8f,4.375,1
e729b7be,412.5,1
e73095fd,41.5,1
e734a0e8,351.1666666666667,1
e74e1818,25.25,1
e760a62e,255.75,1
e7639916,1.25,1
e76a88a6,37.0,1
e78887d1,11.4,1
e7a25a18,49.333333333333336,1
e7b06bea,0.0,0
e7dd8335,12.25,1
e84fef15,359.0,1
e8593010,112.0,1
e872b94a,5.8,1
e88171ec,254.0,1
e8dc4411,389.25,1
e9614598,2.5,1
e98196ab,0.0,0
e99362f0,22.214285714285715,1
e9ac8c9e,43.0,1
e9afcf9a,8.0,1
e9b4f6fc,27.2,1
e9bb6954,40.6,1
e9c9d9a1,105.25,1
e9fc42f2,141.9,1
ea32f347,0.0,0
ea786f4a,79.0,1
ea959feb,147.0,1
ea9794b1,24.571428571428573,1
eb281b96,20.5,1
eb5a1d5d,584.625,1
ec883f72,11.2,1
ecaa0ec1,2.1,1
ecb67b6d,142.25,1
ecdecbb3,18.125,1
ed36ccf7,1.9,1
ed74f2f2,4.857142857142857,1
ed98d772,8.5,1
edcc2ff0,176.125,1
ef135b50,64.75,1
ef26cbf6,18.333333333333332,1
f0100645,92.83333333333333,1
f0afb749,4.0,1
f0df5ff0,30.375,1
f0f8a26d,145.75,1
f15e1fac,2.0,1
f18ec8cc,128.16666666666666,1
f1bcbc2c,8.1,1
f1cefba8,243.625,1
f21745ec,65.75,1
f25fbde4,21.25,1
f25ffba3,1.0,1
f2829549,2.8333333333333335,1
f28a3cbb,131.16666666666666,1
f341894c,277.5,1
f35d900a,16.0,1
f3b10344,442.0,1
f3cdc58f,0.0,0
f3e14006,0.8333333333333334,0
f3e62deb,8.0,1
f45f5ca7,0.0,0
f5aa3634,4.75,1
f5b8619d,10.375,1
f5c89df1,10.625,1
f76d97a5,8.875,1
f823c43c,186.83333333333334,1
f83cb3f6,0.0,0
f8a8fe49,7.5,1
f8b3ba0a,0.0,0
f8be4b64,14.4,1
f8c80d96,24.125,1
f8cc533f,543.2,1
f8f52ecc,149.7,1
f8ff0b80,10.625,1
f9012d9b,11.75,1
f9a67cb5,7.5,1
f9d67f8b,547.4,1
fafd9572,32.333333333333336,1
fafffa47,2.4166666666666665,1
fb791726,0.0,0
fbf15a0b,280.75,1
fc10701f,489.125,1
fc4aaf52,470.1666666666667,1
fc754716,2.8,1
fcb5c309,13.125,1
fcc82909,7.25,1
fd02da9e,112.0,1
fd096ab6,1247.0,1
fd4b2b02,40.0,1
fe45cba4,230.83333333333334,1
fe9372f3,5.0,1
fea12743,40.0,1
feca6190,0.0,0
ff2825db,22.1,1
ff28f65a,6.5,1
ff72ca3e,56.8,1
ff805c23,263.0,1
